OBAN ARGYLL  (observer Bedford Otter) Manor House,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 852 297,Long,-5.482947,Lat,56.411177,Elevation,10,ft,,,,,,,,,,,,,,,,,,
Station no,5413,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875
January,,,,,,,2.2,7.7,7.25,7.85,4.9,7,9.45,10.9,5.8,8.2,,,,,,7.98,12.99,11.84,8.94,7.06
February,,,,,,,5.4,4.28,1.68,6.52,4.6,6.73,2.6,8.7,3.7,4.1,,,,,,9.44,5.92,0.73,2.9,2.85
March,,,,,,,0,3.84,4.2,7.85,6.2,10.55,3,4.2,5.25,3,,,,,,5.67,3.55,,6.92,2.42
April,,,,,,,1,4.05,2.8,3.8,2.65,0.5,4.5,6,3.7,2.6,,,,,,2.01,2.3,,4.13,2.35
May,,,,,,,3.3,1.8,4.35,0.5,5.5,3.05,6,2.9,2.35,3.95,,,,,,1.94,3.6,,3.02,4.8
June,,,,,,4.05,7.8,1.8,5.5,3,5.5,2.9,4.2,4.65,4.7,2.35,,,,,,1.49,9.06,,2.29,2.94
July,,,,,,2.1,,5.3,4.15,3.5,2.15,3.65,6.2,0.68,3.95,3.55,,,,,,5.38,5.45,,5.78,2.97
August,,,,,,4.5,2.3,2.5,4.7,7.7,4.4,11.35,4.1,8.45,3.8,6.35,,,,,,3.82,6.62,,6.33,7.5
September,,,,,,3.08,4.8,4.2,3.3,8.1,4,6.85,3.65,9.3,11.08,3.7,,,,,,2.08,7.26,5.52,11.3,3.14
October,,,,,,6.26,2.3,5,6.4,3.35,11.05,5.7,12.85,8.55,3.35,3.75,,,,,,5.8,7.56,9.62,11.51,4.93
November,,,,,,1.92,2.9,4,1.7,4.62,1.85,8.5,3.9,7.9,6.75,5.6,,,,,,7.77,7.37,6.71,5.23,4.88
December,,,,,,5,8.5,10.2,8.1,3.28,1.8,5.2,11.95,10.4,8,7.1,,,,,,11.26,4.82,6.24,4.09,6.62
Total,,,,,,,,54.67,54.13,60.07,54.6,71.98,72.4,82.63,62.43,54.25,,,,,,64.64,76.5,,72.44,52.46
