STYE HEAD A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY231106,Long,-3.188498,Lat,54.484892,Elevation,1100,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3626/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,34.7,17.5,25.5,14.5,16,23,22.5,17,2.9,4.5,9,19.5,28,-999,23.75,16,22.25,19.75,16,15.5,15,16.25,14,15.5,9.5,22,18.6,11,21.25
February,,0,-999,3.25,28.25,6,21.25,8.5,22,9.5,16.5,4.5,14.5,6.75,-999,12.5,2.6,11.75,16,19,16.25,6.5,10,8,3,4.25,9.5,17,8.5,16
March,,10.25,-999,8.25,4.75,9.5,4.75,12.75,12.25,16.75,5.25,10.5,6.5,3,13.5,10.5,11,16.5,7.75,14.5,14.5,10,3.5,16.5,6.5,6.25,13.5,4,10.5,6
April,,12.25,6,7,9.25,2.75,9.5,2,7.75,5,7.25,7.75,9.5,7,4,5,14,6,23,13.75,10.5,10,9.5,5.15,9.5,3.75,6,6,13,13.5
May,,8.75,4.75,12.5,1.5,2.25,3.5,12.5,1.75,2.5,9.75,9.75,11,9,14.25,3,3.5,6.75,7.5,4,3.25,9,5.5,7,10.75,12.25,7.5,11,2.5,6
June,,6,4.75,7.75,10.25,9.5,11.5,14.75,12.5,1.8,1.25,2.75,8.75,15.5,11.75,13,8,18,3,14,5.25,10,6.25,17.75,13.5,5.5,6.5,7.5,7.5,8
July,,14.25,13,5,10,19,10.25,25.25,17.75,13.5,4.5,15,8.75,6.5,9,13,9.5,12,9,11.75,18.5,10,26,18.75,6.75,16.5,16.5,10,16,17
August,,7.5,7.75,19.75,9.75,6.25,7.15,9.25,4.5,10,17.75,16.3,24.75,13.5,-999,16.5,0,16.5,10,22.5,16,22,13,16,5.75,21,14.5,11.75,3.5,6.5
September,,20.75,2.5,18.75,19,17.5,12.75,10,6.25,16,4,20.5,17,15.25,-999,26.5,14.75,23.75,6.75,38,22.25,13,33,25,12.5,9.5,16,12.5,4,10
October,,22.5,9.5,27,26.25,18.25,6.8,34,5.5,16.75,17,25,17.5,13.5,-999,1.25,2.75,17.75,15.25,14.25,2.5,12,10.5,36.75,12.5,16,23.5,20.5,21.2,8.5
November,,13.75,3.5,6.8,15.25,19.25,4.5,22.5,28.5,16.25,11,4.25,11.5,23.5,-999,25.75,30,18.75,23.5,14.25,28.5,6,30,30,6,7.75,7,4,24.5,24
December,,28,4.5,22.5,8.6,22,8,12.5,5.5,19,11.5,23,7.25,13,11.5,15,12,14.75,30,7.75,27.25,12.75,11.5,21,19,24.25,22.5,11,28,17
Total,,178.7,100.25,164.05,157.35,148.25,122.95,186.5,141.25,129.95,110.25,148.3,156.5,154.5,,165.75,124.1,184.75,171.5,189.75,180.25,136.25,175,215.9,121.25,136.5,165,133.85,150.2,153.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1933 Feb-Mar bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1945 Aug-Nov bracketed (-999),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
