STYE HEAD  B (OLD),,,,,,,,,,,,,,,,,,,,,
Grid ref,NY229107,Long,-3.191611,Lat,54.485761,Elevation,1077,ft,,,,,,,,,,,,,
Station no,3625,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,26,41,17,25.2,15.4,15,29.2,,40,4.95,28.85,15.2,,,,,,,,,
February,22,1.65,19.5,18.4,3.8,18,25.5,,19.85,-999,2.15,15.8,,,,,,,,,
March,26,33,-999,6.9,4.2,6.1,9.41,,11.25,-999,10.2,2.1,,,,,,,,,
April,18,3.7,-999,12,7.8,17.5,9.58,,7.51,6.22,4.4,7.25,,,,,,,,,
May,17.3,9,13,12,16.5,19.2,9.06,,1.33,10.88,4.75,7.5,,,,,,,,,
June,7,1.95,13.75,9.6,14,1.5,18.8,,16.92,9.4,6.1,12.5,,,,,,,,,
July,16.5,7.5,15.5,15.52,15.5,5.5,12.16,,20.15,16.8,7.9,21.75,,,,,,,,,
August,12.25,24.15,14.8,30.5,17.3,16.5,12.37,,18.53,23.72,22.05,9.8,,,,,,,,,
September,14.5,5.75,12.4,22.5,26,10.65,15.12,,13.15,5.75,9.2,8.75,,,,,,,,,
October,2.16,8.3,8.3,33,15,22.5,-999,,21.26,20.25,28.75,10.2,,,,,,,,,
November,12,8.3,7.7,28.5,21,5,-999,,29.55,35.86,16.5,26.35,,,,,,,,,
December,14.12,34.5,25,19.15,34.5,14.5,5,,14.5,28.6,15,19.5,,,,,,,,,
Total,187.83,178.8,159.5,233.27,191,151.95,177.48,,214,170.39,155.85,156.7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
IDR 1922 Mar-Apr bracketed (-999),,,,,,,,,,,,,,,,,,,,,
IDR 1926 Oct-Nov bracketed (-999),,,,,,,,,,,,,,,,,,,,,
IDR 1929 Jan-Feb bracketed (-999),,,,,,,,,,,,,,,,,,,,,
IDR 1940 - figures deleted (not valid as gauge terminated 1931),,,,,,,,,,,,,,,,,,,,,
