STYE HEAD TARN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY220097,Long,-3.205235,Lat,54.476638,Elevation,1472,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,-999,-999,-999,7.94,14.4,17.18,,,,,,,,,,,,13.1,,17.11,14.46,9.94,18.07,,,31.52,,14.48,14,,20.05,,-999,-999,1,10.5,-999,17.75,7.13,-999,8.4,-999,9.5,-999,10,16.1,3.06,-999,-999,7.7,-999,20.15,-999,15.9,-999,-999,21.55,19.25,8.65,21.65,8.15,20,10,-999,-999,-999,13.1,12.9,16.2,32.7,-999,11.6,-999,11,27,19.5,20.5,12,10,18.5,,,,24.46,15,36,18,27,15,15.5,20,23.25,17.5,,4.5,8.5,23.5,31.25,13,25.25,17,22.5,22.75,17,21,15.5,17.25,15,16,10.25,26,20.5,12.5,22.5
February,,,,,,,,-999,-999,-999,13.32,,12.4,,,,,,,,,,,,5.52,15.25,-999,12.79,14.31,13.3,,,16.15,,,,,-999,,-999,-999,-999,13.83,-999,12.55,24.9,-999,9.8,-999,-999,-999,0.55,4.35,-999,-999,-999,9.6,-999,-999,-999,6,-999,-999,23.55,-999,8.95,-999,9.1,-999,10,-999,-999,-999,9.3,21.8,20.7,14.8,-999,13,-999,9,1.55,11.7,16,2.9,14,22,,,,2.2,15.5,0,15.25,3.5,31.25,8.5,19,6.75,21.5,,18.25,3.95,15.25,7.5,17.75,13,2.7,12,17.75,20,20,6,11.75,7.5,,4.5,10.25,20,10,18
March,,,,,,,-999,-999,9.17,-999,-999,16.26,0.45,23.41,,,,,,,,,,,6.27,5.5,-999,5.59,21.1,3.93,31.74,,13.05,,,,10.73,-999,,14.4,10.9,-999,9.5,4.25,13.3,9,-999,4.6,-999,-999,-999,3.6,3.8,-999,10.2,-999,15.65,-999,-999,7.9,0.85,-999,8.4,27.05,-999,17.1,-999,12.25,-999,4.2,-999,7,19,12.4,12.65,9,-999,3.2,8.6,-999,13.25,20.7,-999,5.4,3.1,4.5,8.89,,,,10,2.5,10.1,11.75,8.75,4.25,9.75,5,13.25,11,,5.5,9,6.75,3.25,14,13.5,12,17.5,8.25,15.5,17,11.25,3.75,25.65,12,6.5,11.5,5,10.25,7
April,,,,,,,-999,-999,3.22,3.4,-999,4.36,1.19,6.32,,,,,,,,,,,2.85,2.79,4.12,15.31,9.86,10.26,,7.62,8.76,,,,,6.16,,3.75,7,-999,9.5,5,5.9,11.7,6.85,6.7,-999,6.7,5.9,8.1,3.61,1.45,6,7.7,5.5,-999,15.15,16.3,8.15,-999,5.43,4.6,14.95,16,3.5,8.7,4.3,5,8.9,12.8,3.97,12.8,5.3,9.15,-999,5.8,2.2,-999,12.05,3.2,-999,9,6,13,7.83,,8.71,,5.02,7.5,12.5,6.5,7.25,9.85,3,10.25,2.25,6.75,,7.5,8.25,10.25,7.5,4.25,5.5,16.5,6.5,24.75,15.25,10.75,10.5,11,5.65,9.5,3.75,6,8,11,15
May,,,,,,,-999,7.56,3.1,6,6.05,3.92,9.57,0.34,,,,,,,,,,,4.2,14.33,4.58,5.59,6.41,3.33,14.41,,5.09,,,8.65,3,8.95,9.15,5.64,7.3,14.1,5.8,6.26,14.2,6.9,6.9,3.3,3.45,6.3,7.65,5.35,12.09,7.6,7.2,0.65,1.2,6.05,7.9,8.6,8.9,3.8,6.35,9.5,9.3,10.5,20.65,10.65,9.6,5.1,6.9,10,5.3,10.1,7.7,1.4,12.5,6,2.6,2.6,6.25,6.7,11.2,8.8,13.5,16.3,8.3,,1.8,10.8,5.3,8.1,10.65,5,13,1.5,2,3,12.75,2,,9,10.75,11.25,9.75,14.75,3.25,5,7.25,7.75,4.5,3.5,10,6,7,,13.75,8.25,12,3,7
June,,,,,,,6.26,7.12,9.4,3.49,6.15,7.8,12,4.59,,,,,,,,,,,10.23,1.08,7.15,4.8,3.65,5.6,4.9,,12.03,,1.98,11.88,7.28,10.7,6.5,11.1,13.2,17.1,13.3,8.83,2.6,7.65,5.15,1.92,3.2,1.81,16,4.1,8.28,4.6,10.35,3,7.3,9.25,10.85,2.75,10.75,9.2,2.35,3.85,4.4,7.35,4.5,24.85,9.75,2.4,3.4,12.4,13.5,14.05,3.7,3.2,7.6,5.6,-999,4.8,5,1.5,10,8,10.7,1.5,10.77,,13.27,9.2,7.12,13.75,6.5,5,8,10,8,12,15.5,13.25,,1.25,3.25,9.25,17.25,13.5,18.75,8,18.75,3.75,15.25,5.5,11.75,7.25,18.75,,5.95,6.25,9,10.5,8
July,,,,,,,17.76,3.66,13.18,14.5,10.98,9.71,8.25,20.3,,,,,,,,,,,6.5,7.38,10.11,11.63,3.44,8.44,3.14,,7.9,,8.08,,6.5,16.9,3.2,13.65,10.2,14.2,21.8,7,9.25,13.82,12.4,11,14.2,12.75,13.8,6.15,8.38,12,8,9,10.5,7.5,5.15,9.6,5.9,3,9.7,14.9,7.85,8.7,10.5,5.9,10.85,16.3,12.2,3.15,10.15,2.25,7.95,13.3,7.6,3.8,-999,4.2,7.7,5.2,14.6,13.4,13.6,5.4,8.06,,,15.13,7.24,22.5,15.75,13.5,6,8.75,18.5,11.25,25.25,19.25,,5,14.75,9.5,6.75,9.5,14.5,10,14.25,10.25,12.5,19.5,12.25,27.5,20.5,,18.25,15.25,12.5,16,14
August,,,,,,,11.03,10.22,12.31,10.2,13.59,12.6,12.55,-999,,,,,,,,,,,10.32,12.63,12.5,15.35,14.28,5.42,2.75,,12.19,,,14.22,6.9,14.3,9.13,13.43,6,16.55,8,15.1,3.1,6.9,10.45,3.83,9.15,10.45,15.9,16.25,21.1,13.9,15,12,10.7,19.25,18.45,3.9,15.5,15.5,9.6,23.7,11.25,13.5,14.2,16.45,13.2,8.2,18,10.2,17.8,8.8,13.45,4.5,6.85,16,11.55,7,6.7,17.55,13.5,22.2,14,14,11.7,,17.94,22.84,20.25,8.65,7.5,8,21.5,11.25,6,6.75,9.5,4.75,,18.25,16.7,26.75,15.25,3.75,16.5,0,16.75,10.5,25.25,17.5,23,13.25,18,6.5,22.5,14.25,12.25,2.5,9
September,,,,,,,4.22,10.92,7.51,4.87,5.76,5.56,4.6,-999,,,,,,,,,,,13.4,8.49,17.44,12.4,5.33,20.55,10.46,,26.34,,18.06,9.7,11.26,5.8,15.3,18.95,11.9,6.6,7.71,13.75,13.3,13.4,15.7,13.3,7.15,11,12.65,26.5,16.73,11.4,0.2,4.5,19.15,12.25,10.85,12.45,13.6,12.9,6.2,13,10.15,11.5,4.2,2.25,17.3,3.6,2.3,9.8,6.78,5.2,6.5,3.13,8.05,11.2,18.15,9.1,9,4.1,10.7,16.5,21,9.6,13.25,,11.25,4.6,10.5,9.85,20.5,2.5,19.25,18.5,17,13.5,11,6,,4.25,22.25,18.5,16.5,15.75,29,14.5,24.5,7.25,40.5,25,13.25,34,28.75,,9.75,16,13,3,10.25
October,,,,,,,15.35,17.5,14.85,15.23,17.1,16.11,8,-999,,,,,,,,,,,6.4,11.14,7.25,15.02,14.62,11.94,24.88,,17.36,14.74,,11.3,6.32,22.8,16,10.71,2.4,3.7,8,12.8,10.5,12,14,12,13,15.8,11.8,12.1,13.1,14.2,15.95,10,11.5,8.5,11.8,12.2,15.4,18.15,12.6,27.4,12.9,14.85,17.1,17.25,5.8,15,6.6,13.7,18.65,9.35,4.1,4.05,-999,17.4,8.35,2.6,2,6,7,26,11.4,17,-999,,22.15,17.45,29.15,11.1,23,9.25,25.25,26.25,17.5,6.75,34.5,5.75,,18.25,27.5,18.75,14.75,17.7,1.25,2.75,19.25,15.5,16.5,2.75,15,11.75,40.5,,16.25,20.75,21,16,7.5
