"BUCKHURST HILL RESERVOIR",,,,,,,,,,,,
Grid ref,TQ407938,Long,0.031231,Lat,51.625434,,,,,,,
Station no,1231,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.47,1.73,1.09,1.09,2.63,3.43,1.49,2.41,1.91,1.89,,
February,5.64,0.81,1.79,2.66,1.93,0.45,3.06,2.93,0.09,2.42,,
March,3.37,3.36,0.48,2.34,1.20,1.17,1.26,1.11,1.76,1.27,,
April,2.83,1.21,2.56,0.28,0.41,1.18,0.24,1.49,2.50,0.63,,
May,2.34,1.60,1.33,1.92,4.71,0.65,1.25,2.46,1.30,1.70,,
June,0.54,1.40,1.49,2.88,2.27,3.02,0.82,5.73,0.76,1.27,,
July,0.99,0.67,3.56,2.67,0.72,4.20,3.77,2.60,1.52,3.78,,
August,5.17,2.85,1.78,3.50,1.05,4.42,1.90,3.64,1.22,3.00,,
September,3.11,3.08,1.98,1.56,2.00,2.08,2.40,3.71,0.04,4.16,,
October,0.70,2.80,3.28,2.15,3.16,1.91,1.96,2.30,2.06,6.14,,
November,4.58,3.87,1.02,3.49,0.76,0.62,2.07,1.79,3.01,3.43,,
December,2.08,2.47,0.66,1.72,1.65,2.62,1.66,3.07,3.75,2.71,,
Total,33.82,25.85,21.02,26.26,22.49,25.75,21.88,33.24,19.92,32.40,,
Calc annual,33.82,25.85,21.02,26.26,22.49,25.75,21.88,33.24,19.92,32.40,,
Difference,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,0.00,,
