ASHBURTON DRUID HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX744711,Long,-3.773322,Lat,50.526161,Elevation,570,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931
January,,,,,,,,,,6.76,4.18,4.79,12.19,12.03,7.27,10.69,1.76,12.95,2.54,8.4,0.91,3.33,3.57,7.83,7.49,4.44,6.54,5.31,2.01,2.08,7.59,5.21,2.91,6.83,9.17,2.58,11,2.16,2.51,2.68,6.39,1.9,7.45,11,1.62,4.97,2.93,1.67,6.86,8.98,11.71,5.6,6.97,2.82,7.18,10.59,9.62,8.23,10.13,3.91,9.54,4.78
February,,,,,,,,,,4.42,5.9,4.24,6.68,4.89,5.39,2.13,6.71,2.9,3.94,8.83,8.37,8.1,3.98,10.1,8.36,7.9,2.2,1.24,0.64,2.55,11.07,1.81,3.24,4.38,9.51,1.62,5.38,2.6,3.21,0.69,8.25,2.94,6.23,3.03,8.67,11.89,9.95,1.01,3.48,9.03,1.38,0.3,7.29,12.12,2.71,7.53,5.17,5.1,4.97,3.71,1.7,4.07
March,,,,,,,,,,2.85,4.07,3,6.65,5,1.09,1.86,6.05,3.21,1.57,1.05,4.05,7.42,1.61,2.71,5.23,1.76,6.71,2.52,7.4,5.08,2.89,5,3.12,8.72,3.3,9.17,1.75,1.42,5.47,7.99,1.39,3.93,8.62,7.23,8.99,1.09,4.6,5.1,2.05,7.03,5.3,4.17,6.25,2.39,3.29,0.65,1.4,6.71,6.35,0.47,3.48,3.19
April,,,,,,,,,,1.35,0.39,7.25,2.77,0.94,3.73,2.41,5.44,6.87,6.48,3.92,2.22,0.97,7.88,1.66,2.79,5.66,2.74,1.75,2.84,1.78,1.61,5.53,2.81,2.22,2.21,3.89,0.96,6.36,3.46,3.39,3.11,2.2,0.26,7.53,2.55,1.58,1.36,1.8,2.92,2.71,6.26,0.82,5.93,5.5,5.54,3.89,3.25,2.81,3.41,0.88,3.99,3.88
May,,,,,,,,,,6,2.87,0.22,2.25,1.73,1.1,3.69,0.35,5.95,6.87,3.01,1.04,1.9,2.4,2.34,2.12,3.17,4.01,1.96,3.78,2.33,3.12,2.36,2.03,2.71,2.92,0.86,3.23,5.67,2.88,1.43,3.31,1.75,2.16,4.12,2.23,4.22,2.01,3.09,1.26,1.6,2.72,3.63,0.95,2.57,6.92,5.53,1.81,0.68,1.11,4.76,1.83,3.48
June,,,,,,,,,,0.39,0.19,2.84,5.47,2.43,2.32,4.33,1.6,2.51,4.3,11.3,1.69,4.12,4.14,4.24,1.31,1.71,0.87,0.18,3.72,0.45,4.54,1.59,3,2.7,1.75,3.79,2.61,3.71,0.89,3.85,2.11,2.98,6.13,1.08,1.52,1.82,2.77,4.21,1.7,0.99,2.37,0.11,0.97,0.15,3.02,0,4.85,3.24,2.93,2.15,0.37,4.16
July,,,,,,,,,,1.2,0.81,5.68,4.05,2.9,1.77,5.11,1.06,4.09,1.36,5.13,4.66,2.6,6.21,3.75,3.76,0.44,3.63,2.19,7.32,4.41,0.95,2.44,3.44,4.93,5.04,0.5,0.78,2.73,2.83,2.83,3.58,1.13,3.33,0.48,4.79,3.99,1.06,3.09,5.33,1.38,4.94,0.92,5.86,1.3,5.97,3.8,1.15,5.19,1.95,1.97,2.96,4.79
August,,,,,,,,,,0.79,1.83,2.09,1.66,6.34,4.91,2.94,4.39,6.78,6.3,6.87,1.03,7.15,3.79,1.57,1.3,2.67,2.69,2.37,2.92,3.44,2.79,2.11,3.4,5.19,3.4,4.73,2.84,1.42,6.36,2.29,6.11,1.97,10.35,1.62,3.91,2.46,5.8,7.95,2.99,4.17,1.7,2.7,4.78,4.2,4.38,4.7,2.25,4.37,2.96,3.05,5.76,4.67
September,,,,,,,,,,6.57,2.81,8.42,3.61,2.64,7.22,5.9,8.17,3.08,2.47,5.22,4.91,3.46,4.86,7.64,2.29,6.1,2.74,3.78,0.85,2.52,2.07,4.66,3.38,5.7,2.83,2.43,1.09,1.32,3.21,2.03,0.55,2.72,1.4,4.87,2.95,1.49,3.27,3.01,10.92,3.07,2.18,1.2,3.81,4.96,7.09,4.9,1.35,7.11,2.07,0.63,7.14,1.52
October,,,,,,,,,,3.87,8.22,6.87,7.89,2.78,9.28,10.75,5.6,5.49,6.25,1.56,9.78,7.29,8.47,5.67,1.34,8.32,9.4,4.34,2.58,5.58,3.94,2.51,4,12.98,2.82,2.45,8.2,8.53,2.88,10.6,7.97,6.01,8.38,5.95,4.14,7.34,9.63,8.04,3.34,2.09,4.95,2.01,2.01,10.54,9.02,6.67,3.93,3.9,11.03,8.49,6.23,0.83
November,,,,,,,,,,3.81,3.76,1.22,9.28,5.33,5.36,9.14,7.8,11.02,5.44,0.39,7.08,9.81,7.54,6.41,2.75,7.27,4.42,5.53,12.98,2.97,4.75,1.35,7.44,2.97,2.6,6.92,4.44,5.88,2.17,1.83,7.72,7.27,3.46,6.74,8.59,4.09,8.54,2.55,5.51,5.43,3.47,5.58,4.61,4.96,5.63,5.27,12.65,4.41,9.11,19.58,9.41,12.42
December,,,,,,,,,,8.21,3.86,5.53,9,1.16,8,2.85,16.92,3.13,5.24,2.71,5.95,5.12,7.67,1.74,7.32,3.14,9.14,5.69,7.79,3.42,9.66,10.36,4.99,7.18,4.71,1.87,3.48,7.94,6.21,8.38,12.77,16.78,8.57,3.57,14.88,15.51,4.98,1.34,8.34,10.18,8.79,3.13,9.85,5.59,10.85,8.7,0.65,6.51,6.49,14.52,5.46,3.04
Total,,,,,,,,,,46.22,38.89,52.15,71.5,48.17,57.44,61.8,65.85,67.98,52.76,58.39,51.69,61.27,62.12,55.66,46.06,52.58,55.09,36.86,54.83,36.61,54.98,44.93,43.76,66.51,50.26,40.81,45.76,49.74,42.08,47.99,63.26,51.58,66.34,57.22,64.84,60.45,56.9,42.86,54.7,56.66,55.77,30.17,59.28,57.1,71.6,62.23,48.08,58.26,62.51,64.12,57.87,50.83
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
