"ASHBURTON DRUID HOUSE",,,,,,,,,,,,
Grid ref,SX744711,Long,-3.773322,Lat,50.526161,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,7.59,5.21,2.91,6.83,9.17,2.58,11.00,2.16,2.51,2.68,,
February,11.07,1.81,3.24,4.38,9.51,1.62,5.38,2.60,3.21,0.69,,
March,2.89,5.00,3.12,8.72,3.30,9.17,1.75,1.42,5.47,7.99,,
April,1.61,5.53,2.81,2.22,2.21,3.89,0.96,6.36,3.46,3.39,,
May,3.12,2.36,2.03,2.71,2.92,0.86,3.23,5.67,2.88,1.43,,
June,4.54,1.59,3.00,2.70,1.75,3.79,2.61,3.71,0.89,3.85,,
July,0.95,2.44,3.44,4.93,5.04,0.50,0.78,2.73,2.83,2.83,,
August,2.79,2.11,3.40,5.19,3.40,4.73,2.84,1.42,6.36,2.29,,
September,2.07,4.66,3.38,5.70,2.83,2.43,1.09,1.32,3.21,2.03,,
October,3.94,2.51,4.00,12.98,2.82,2.45,8.20,8.53,2.88,10.60,,
November,4.75,1.35,7.44,2.97,2.60,6.92,4.44,5.88,2.17,1.83,,
December,9.66,10.36,4.99,7.18,4.71,1.87,3.48,7.94,6.21,8.38,,
Total,54.98,44.93,43.76,66.51,50.26,40.81,45.76,49.74,42.08,47.99,,
Calc annual,54.98,44.93,43.76,66.51,50.26,40.81,45.76,49.74,42.08,47.99,,
Difference,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,,
