"FORRES (HYDRO)",,,,,,,,,,,,
Grid ref,NJ047587,Long,-3.596587,Lat,57.608193,,,,,,,
Station no,5683/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.07,1.76,1.34,1.14,1.27,1.96,1.80,2.88,3.17,2.74,,
February,1.94,1.18,1.33,0.83,1.73,1.71,1.17,2.70,0.54,1.96,,
March,2.04,1.45,0.75,0.52,1.55,0.62,2.94,0.64,1.07,0.84,,
April,3.29,0.77,2.20,0.94,0.78,1.84,0.36,1.15,1.75,1.13,,
May,0.44,1.14,2.66,4.15,2.60,0.81,0.98,2.98,0.81,0.26,,
June,2.26,1.97,2.66,2.33,0.75,2.01,2.07,2.63,2.07,4.02,,
July,3.24,2.78,3.70,4.15,0.33,5.03,6.28,3.53,1.85,2.27,,
August,3.42,3.32,2.95,1.94,0.68,4.19,3.97,3.58,0.99,-999.00,,
September,0.63,2.42,2.41,1.77,1.13,2.76,1.23,2.30,0.78,2.17,,
October,1.70,1.77,0.52,5.74,3.78,2.58,1.17,1.61,2.62,2.46,,
November,3.34,2.15,1.57,1.74,0.57,1.32,2.32,0.86,2.26,1.47,,
December,2.44,2.14,2.37,3.54,4.45,2.34,2.59,1.32,1.39,0.82,,
Total,26.81,22.85,24.46,28.79,19.62,27.17,26.88,26.18,19.30,28.32,,
Calc annual,26.81,22.85,24.46,28.79,19.62,27.17,26.88,26.18,19.30,20.14,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,8.18,,
