KINGSBRIDGE-SENIOR-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SX737446,Long,-3.77339,Lat,50.28792,Elevation,100,ft,,,,,,,,,,,,
Station no,1669/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,6.89,6.73,5.2,6.62,3.13,5.87,4.76,7.62,3.67,,,,,,
February,,,,,,4.59,8.43,1.73,2.01,6,4.72,0.27,1.87,0.91,,,,,,
March,,,,,,4.47,5.62,0.48,1.36,3.79,4.55,2.66,1.37,0.36,,,13.18,,,
April,,,,,,2.5,3.6,0,2.69,4.04,1.34,2.07,1.07,2.05,,,3.45,,,
May,,,,,,1.18,3.71,2.84,0.66,1.8,3.4,5.26,2.92,0.34,,,2.72,,,
June,,,,,,1.21,1.49,1.17,4.37,0.84,2.89,0.41,1.76,2.36,,,3.45,,,
July,,,,,,5.53,1.69,3.81,5.82,2.5,0.61,1.78,2.45,4.06,,,2.11,,,
August,,,,,,0.59,1.87,6.5,1.96,0.06,4.81,3.22,2.85,3.08,,,1.37,,,
September,,,,,,2.99,3.39,2.08,0.9,1.61,0.13,3,4.41,1.42,,,1.97,,,
October,,,,,,1,3.82,4.2,7.41,4.19,1.27,5.03,3.38,4.16,,,1.56,,,
November,,,,,,3.63,3.61,7.51,9.02,9.76,2.68,1.12,2.56,8.41,,,3.17,,,
December,,,,,,3.29,5.14,4.05,2.65,3.7,3.15,5.96,3.38,2.68,,,3.59,,,
Total,,,,,,37.87,49.1,39.57,45.47,41.42,35.42,35.54,35.64,33.5,,,,,,
,,,,,,,,,,,,,,,,,,,,
1937 May 7 Gauge lowered from 2ft to 1ft,,,,,,,,,,,,,,,,,,,,
1937 May 7 Gauge read at 9am,,,,,,,,,,,,,,,,,,,,
1942 Nov Gauge moved 6yds E,,,,,,,,,,,,,,,,,,,,
1945 No record Gauge smashed,,,,,,,,,,,,,,,,,,,,
1948 Record suspended as site taken up by builders,,,,,,,,,,,,,,,,,,,,
1949 Still no rainfall recordings Station terminated,,,,,,,,,,,,,,,,,,,,
