"LOUGHBOROUGH (SEWAGE FARM)",,,,,,,,,,,,
Grid ref,SK529209,Long,-1.217128,Lat,52.783095,,,,,,,
Station no,2520,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.73,2.45,0.86,1.41,1.87,3.94,2.02,2.99,3.10,6.28,,
February,3.29,0.70,1.67,2.87,1.91,0.41,2.93,3.48,0.16,1.61,,
March,3.56,2.84,1.34,2.18,3.19,1.22,2.12,1.99,1.77,1.34,,
April,1.72,1.89,1.96,0.28,1.03,1.34,0.25,0.84,3.35,1.28,,
May,3.54,2.86,2.21,2.60,4.15,0.61,1.24,2.43,0.46,1.03,,
June,1.69,1.59,3.24,2.64,4.59,3.31,1.78,4.57,1.13,2.27,,
July,0.66,0.31,1.41,2.43,1.58,2.27,2.95,4.50,0.99,3.41,,
August,5.00,1.68,2.13,4.84,0.36,5.14,3.24,1.85,1.21,4.02,,
September,1.28,1.61,1.99,1.85,1.47,1.99,7.11,3.70,0.03,3.55,,
October,0.79,2.64,3.21,3.05,1.73,1.47,1.43,2.63,2.39,4.64,,
November,5.57,2.32,1.42,5.34,1.84,0.87,2.55,1.40,2.83,3.10,,
December,1.92,2.77,0.68,2.65,1.85,3.61,2.03,3.31,4.52,3.12,,
Total,31.75,23.66,22.12,32.14,25.57,26.18,29.65,33.69,21.94,35.65,,
Calc annual,31.75,23.66,22.12,32.14,25.57,26.18,29.65,33.69,21.94,35.65,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
