BLACKBURN (QUEENS ROAD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD697272,Long,-2.460858,Lat,53.740294,Elevation,515,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,2956/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,5.63,5.64,1.67,1.5,4.42,6.23,6.01,3.2,4.13,3.88,8.54,3.08,4.35,5.1,5.29,2.42,5.48,2.56,,,,,
February,,,,,,,,1.79,4.36,2.26,5.42,1.41,3,2.18,4.97,5.94,0.85,2.83,3.18,5.46,4.07,1.67,1.86,4.02,2.31,,,,,
March,,,,,,,,1.78,2.53,2.82,3.71,3.55,1.22,0.82,1.84,0.89,6.12,2.15,2.14,2.35,5.3,2.24,2.2,3.05,2.36,,,,,
April,,,,,,,,1.18,2.65,3,1.82,2.18,3.15,2.35,2.26,1.45,4.15,2.72,4.22,3.43,2.95,4.06,3.57,1.43,3.19,,,,,
May,,,,,,,,3.72,1.96,1.05,2.92,3.12,2.92,3.27,3.35,1.27,2.61,1.49,3.58,2.04,1.73,2.64,2.89,2.69,4.56,,,,,
June,,,,,,,,5.04,3.53,0.92,0.69,1.06,4.09,3.17,4.51,2.8,3.14,6.74,1.31,3.29,1.43,3.77,2.57,3.29,3.35,,,,,
July,,,,,,,,5.16,6.74,5.36,2.79,5.64,3.06,4.14,3.34,5.2,3.32,2.28,2.59,4.45,3.38,2.98,4.62,6.52,1.08,,,,,
August,,,,,,,,3.51,3.02,3.09,6.29,4.6,6.38,3.92,2.7,7.93,0.21,4.68,2.9,8.34,5.22,6.77,4.98,7.34,1.17,,,,,
September,,,,,,,,2.04,1.5,5.37,1.37,3.53,4.68,5.96,2.75,7.83,4.31,3.49,2.94,7.95,2.75,4.64,4.89,6.76,3.86,,,,,
October,,,,,,,,9.47,2.4,4.55,5.16,7.63,3.65,5.25,6.07,1.21,0.94,2.86,5.15,3.46,1.36,4.37,2.66,8.08,3.43,,,,,
November,,,,,,,,6.64,6.74,7.18,2.82,1.13,4.24,6.92,0.5,6.45,5.54,3.25,6.51,6.3,8.95,2.56,5.71,8.11,2.68,,,,,
December,,,,,,,,5.27,3.73,5.04,3.38,4.43,2.53,5.39,2.62,4.87,3.63,4.1,6.66,3.19,11.14,3.89,2.3,7.26,5.64,,,,,
Total,,,,,,,,51.23,44.8,42.31,37.87,42.7,45.15,49.38,38.11,49.97,38.7,45.13,44.26,54.61,53.38,44.88,40.67,64.03,36.19,,,,,
