BLACKBURN (QUEENS ROAD),,,,,,,,,,,,
Grid ref,SD697272,Long,-2.460858,Lat,53.740294,,,,,,,
Station no,2956/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,5.10,5.29,2.42,5.48,2.56,,,,,,,
February,4.07,1.67,1.86,4.02,2.31,,,,,,,
March,5.30,2.24,2.20,3.05,2.36,,,,,,,
April,2.95,4.06,3.57,1.43,3.19,,,,,,,
May,1.73,2.64,2.89,2.69,4.56,,,,,,,
June,1.43,3.77,2.57,3.29,3.35,,,,,,,
July,3.38,2.98,4.62,6.52,1.08,,,,,,,
August,5.22,6.77,4.98,7.34,1.17,,,,,,,
September,2.75,4.64,4.89,6.76,3.86,,,,,,,
October,1.36,4.37,2.66,8.08,3.43,,,,,,,
November,8.95,2.56,5.71,8.11,2.68,,,,,,,
December,11.14,3.89,2.30,7.26,5.64,,,,,,,
Total,53.38,44.88,40.67,64.03,36.19,,,,,,,
Calc annual,53.38,44.88,40.67,64.03,36.19,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,NaN,NaN,,
