HILLSBOROUGH (AG RESEARCH INST),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IJ251577,Long,-6.071754,Lat,54.452526,Elevation,388,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,6205/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,2.31,2.3,2.03,2.93,1.28,3.9,5.37,4.03,4.21,3.66,3.17,5.31,4.72,4.06,2.51,3.75,3.78,7.79,2.76,1.27,2.63,3.29,1.23,2.42,3.54,3.1,4.25,3.56,2.05,3.48
February,2.51,0.19,2.52,0.15,3.26,2.21,4.27,1.13,2.28,2.51,3.25,1.94,1.31,0.84,2.59,2.19,1.29,1.89,1.49,3.22,3.13,0.7,1.02,3.24,3.51,1.09,2.04,5.01,1.1,2.38
March,1.17,1.65,2.12,2.33,1.22,2.23,2.91,1.06,3.25,4.36,4.33,2.48,1.14,0.42,1.14,1.64,5.2,2.13,2.27,1.18,2.25,1.03,0.38,3.34,1.46,1.98,2.76,1.76,2.61,2.32
April,2.75,2.98,1.12,2.62,2.16,0.84,2.15,0.22,2.73,4.38,2.72,1.6,1.95,1.99,1.74,0.86,2.62,1.85,2.04,3.26,1.62,1.87,1.54,0.69,1.96,1.38,1.24,1.65,2.36,2.88
May,4.57,2.22,2.71,2.59,1.33,1.28,1.18,2.06,0.88,1.07,2.42,2.9,3.68,1.65,4.08,1.03,3.11,2.38,1.75,1.34,2.74,1.24,1.77,3.21,2.64,0.91,2.35,2.19,1.31,1.97
June,5.14,1.23,2.75,1.79,3.75,3.32,2.49,3.71,1.94,1.1,0.48,0.29,3.56,2.07,4.5,3.11,3.61,4.15,0.66,2.72,2.42,2.38,2.02,2.21,4.86,2.75,0.98,6.19,2.44,1.99
July,3.56,4.17,2.54,1.58,1.26,6.02,2.9,5.29,4.56,3.99,4.09,4.07,1.48,3.28,3.18,3.84,4.17,2.98,2.21,4.8,4,2.14,5.07,3.36,1.77,2.94,4.07,3.91,3.71,5.22
August,4.46,2.25,2.02,4.45,3.46,2.56,2.73,2.76,1.84,0.96,4.93,3.59,4.84,3.29,1.21,4.79,0.67,4.27,4.52,6.43,3.8,5.28,4.13,2.94,1.49,6.71,4.85,5.24,0.92,6.15
September,2.84,2.56,0.85,4.55,4.94,4.5,2.65,3.06,2.81,2.69,1.77,3.6,2.39,6.14,2.94,7.26,3.12,3.58,2.29,5.62,2.59,1.45,2.55,4.01,3.06,3.46,4.42,5.05,1.64,3.07
October,1.81,3.17,2.33,3.72,3.46,2.27,3.43,5.52,3.51,4.86,4.69,2.86,3.6,4.18,3.93,1.75,1.96,2.69,4.53,2.91,0.69,3.72,1.95,5.27,1.98,2.68,3.85,2.63,3.94,6.36
November,6.1,1.48,1.01,1.17,3.81,4.14,1.53,4.04,5.03,5.33,4.5,0.42,2.3,5.22,1.32,4.17,3.74,2.13,2.61,2.74,7.3,2.43,3.92,5.83,2.29,1.29,1.79,1.51,3.6,3.9
December,2.88,4.49,1.82,5.6,2.59,3.11,3.27,3.79,2.48,3.7,1.46,3.77,2.22,3.85,3.36,4.37,3.28,5.59,3.81,3.37,3.91,3.36,3.17,3.75,4.3,4.81,4.41,4.82,5.17,2.84
Total,40.1,28.69,23.82,33.48,32.52,36.38,34.88,36.67,35.52,38.61,37.81,32.83,33.19,36.99,32.5,38.76,36.55,41.43,30.94,38.86,37.08,28.89,28.75,40.27,32.86,33.1,37.01,43.52,30.85,42.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1489,HILLSBOROUGH ,01/01/1930,Current ,,,,,,,,,,,,,,,,,,,,,,,,,,,
