"HILLSBOROUGH (AG. RESEARCH INST.)",,,,,,,,,,,,
Grid ref,IJ251577,Long,-6.071754,Lat,54.452526,,,,,,,
Station no,6205/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.63,3.29,1.23,2.42,3.54,3.10,4.25,3.56,2.05,3.48,,
February,3.13,0.70,1.02,3.24,3.51,1.09,2.04,5.01,1.10,2.38,,
March,2.25,1.03,0.38,3.34,1.46,1.98,2.76,1.76,2.61,2.32,,
April,1.62,1.87,1.54,0.69,1.96,1.38,1.24,1.65,2.36,2.88,,
May,2.74,1.24,1.77,3.21,2.64,0.91,2.35,2.19,1.31,1.97,,
June,2.42,2.38,2.02,2.21,4.86,2.75,0.98,6.19,2.44,1.99,,
July,4.00,2.14,5.07,3.36,1.77,2.94,4.07,3.91,3.71,5.22,,
August,3.80,5.28,4.13,2.94,1.49,6.71,4.85,5.24,0.92,6.15,,
September,2.59,1.45,2.55,4.01,3.06,3.46,4.42,5.05,1.64,3.07,,
October,0.69,3.72,1.95,5.27,1.98,2.68,3.85,2.63,3.94,6.36,,
November,7.30,2.43,3.92,5.83,2.29,1.29,1.79,1.51,3.60,3.90,,
December,3.91,3.36,3.17,3.75,4.30,4.81,4.41,4.82,5.17,2.84,,
Total,37.08,28.89,28.75,40.27,32.86,33.10,37.01,43.52,30.85,42.56,,
Calc annual,37.08,28.89,28.75,40.27,32.86,33.10,37.01,43.52,30.85,42.56,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
