REIGATE-WOODHATCH-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ258491,Long,-0.19975,Lat,51.22725,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR4796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,1.22,1.8,2.96,2.86,2.35,4.09,2.37,0.99,1.72,3.12,2.99,0.65,2.39,4.35,2.19,0.99,2.15,0.75,3.01,3.95,1.55,0.85,2.43,4.8,,,,,
February,,3.27,2,4.23,2.04,3.38,0.46,0.78,1.59,3.07,0.9,0,1.43,3.65,1.9,0.24,0.51,2.85,1.29,2.93,4.46,1.65,1.01,1.73,3.24,,,,,
March,,2.22,1.11,1.05,1.92,1.87,1.8,1.73,4.34,2.5,2.7,2.46,1.36,0.88,1.3,1.78,3.41,4.2,1.67,0.72,0.71,2.22,2.03,2.72,1.63,,,,,
April,,0.71,3.14,1.38,1.65,1.59,1.67,1.99,2.14,2.32,2.66,0.64,1.24,0.06,1.79,1.81,0.95,1.72,1.02,2.77,1.09,2.17,0.87,2.02,1.79,,,,,
May,,1.79,1.62,2.02,0.63,3.06,4.11,1.9,1.09,2.17,1.52,2.23,1.27,0.71,1.68,0.37,0.26,1.39,3.52,1.21,1.12,1.23,2.72,2.63,,,,,,
June,,2.01,2.66,1.93,1.97,1.83,0.96,0.68,4.61,0.99,2.44,1.8,3.89,0.83,2.62,0.3,2.74,1.81,1.38,0.92,2.56,1.95,4.16,5,,,,,,
July,,1.96,2.98,2.94,1.57,0.2,2.96,0.76,5.06,2.25,4.8,4.24,1.73,2.6,4.8,5.42,1.27,1.13,0.68,0.58,1.24,1.87,2.43,2.88,,,,,,
August,,4.48,1.87,1.14,1.02,1.18,1.34,2.54,1.56,3.11,2.97,4.58,3.34,0.61,2.79,2.5,2.17,3.03,1.15,0.76,2.07,2.02,3.63,3.81,,,,,,
September,,2.75,2.76,4.81,2.99,5.39,2.22,2.74,0.79,0.92,0.88,1.09,2.1,1.61,1.96,0.38,8.09,2.41,0.33,3.04,1.18,1.65,0.7,2.68,,,,,,
October,,2.77,6.16,2.68,1.38,4.36,3.21,1.55,1.8,4.76,1.08,6.56,4.09,3.94,4.3,3.47,4.4,0.52,3.4,2.17,2.01,2.48,2.25,7.05,,,,,,
November,,3.85,2.99,4.11,1.52,3.19,3.74,4.58,4.45,1.01,2.29,3.39,2.76,2.81,4.88,5.29,1.62,1.21,3.6,4.92,2.88,0.76,2.36,2.86,,,,,,
December,,3.65,2.87,1.05,2.99,1.45,4.67,1.77,1.6,1.75,0.79,4.21,1.94,3.01,2.2,2.84,3.91,3.47,2.54,1.32,3.12,4.66,1.27,2.07,,,,,,
Total,,30.68,31.96,30.3,22.54,29.85,31.23,23.39,30.02,26.57,26.15,34.19,25.8,23.1,34.57,26.59,30.32,25.89,21.33,24.35,26.39,24.21,24.28,37.88,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1880 A 12in gauge for 1 year only Jan Feb values questioned Year removed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Large estate NGR matches elevation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1881 New 5in gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
