AINSTABLE HEATHER GLEN,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY533461,Long,-2.7280829,Lat,54.807579,Elevation,420,ft,,,,,,,,,,,,,
Station no,3614,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,2.77,3.37,3.77,3.84,5.4,1.15,5.2,3.01,4.05,2.64,4.26,1.96,3.28,,,,
February,,,,,0.87,6.1,4.1,1.3,3.32,0.71,0.23,2.66,0.36,2.04,0.19,4.28,2.64,,,,
March,,,,,1.12,1.82,1.27,2.74,3.92,0.43,2.3,1.34,3.32,1.77,1.94,0.91,1.43,,,,
April,,,,,1.81,3.33,1.98,3.1,0.82,1.9,2.11,2.56,1.98,1.55,3.15,2.68,0.6,,,,
May,,,,,4.03,3.33,2.83,3.48,1.89,1.38,1.48,2.88,2.78,3.07,2.85,1.05,0.6,,,,
June,,,,,2.12,0.41,4.12,3.37,3.9,1.82,2.4,5.97,1.72,2.63,3.12,4.71,3.62,,,,
July,,,,,3.9,2.32,3.55,5.28,3.82,3.7,5.65,5.07,5.7,2.82,3.14,1.24,,,,,
August,,,,,3.91,2.76,3.36,6.01,7.23,3.83,7.75,2.81,1.81,2.28,3.37,2.24,,,,,
September,,,,,4.26,3.86,5.13,8.49,1.46,1.33,2.95,1.64,4.83,1.11,3.35,4.39,,,,,
October,,,,,3.24,3.66,3.01,2.84,4.61,4.8,3.57,2.66,5.67,3.46,4.52,5.23,,,,,
November,,,,,2.08,2.9,4.51,2.88,4.51,5.56,3.72,5.18,2.2,1.57,1.01,3.12,,,,,
December,,,,,4.81,3.52,0.85,1.03,2.24,6.22,3.12,2.15,2.3,1.05,4.31,1.44,,,,,
Total,,,,,34.92,37.38,38.48,44.36,43.12,32.83,40.48,37.93,36.72,25.99,35.21,33.25,,,,,
