"LOOE (MORVAL)",,,,,,,,,,,,
,,,,,,,,,,,,
Station no,1931,,,,,,,,,,,
,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,
January,8.42,5.43,7.11,3.83,7.24,7.05,7.40,6.06,9.04,3.63,8.25,
February,1.19,0.45,4.78,9.10,1.88,6.17,3.59,3.64,4.95,3.21,2.45,
March,5.11,4.04,4.36,3.28,2.92,1.07,0.89,5.65,7.23,0.64,3.81,
April,5.08,0.88,4.40,4.15,4.52,3.52,2.98,2.97,2.39,1.15,3.08,
May,2.27,3.09,2.52,2.59,5.80,6.40,2.58,0.75,1.59,4.17,3.34,
June,2.75,0.17,1.66,0.53,2.98,0.00,3.33,4.16,2.77,3.24,1.37,
July,6.48,1.38,5.16,1.25,7.39,4.17,1.96,5.11,2.24,2.34,3.34,
August,1.42,3.61,4.57,3.58,4.52,5.40,2.41,5.12,2.07,3.96,6.76,
September,3.41,1.41,4.16,3.98,5.31,4.48,0.92,7.29,1.92,0.48,6.06,
October,6.15,1.78,1.43,7.14,9.63,4.33,2.92,3.47,7.70,9.54,5.81,
November,3.64,5.60,3.39,4.61,5.44,4.76,9.40,4.95,5.89,14.72,8.08,
December,6.45,2.93,8.28,5.94,7.80,6.96,0.96,5.76,4.82,9.90,5.84,
Total,52.37,30.77,51.82,49.98,65.43,54.31,39.34,54.93,52.61,56.98,58.19,
Calc annual,52.37,30.77,51.82,49.98,65.43,54.31,39.34,54.93,52.61,56.98,58.19,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,
