BASINGSTOKE-CHEQUERS-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU641521,Long,-1.08267,Lat,51.26453,Elevation ,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,754/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,5.17,,2.84,3.43,5.23,1.99,1.51,2.35,,,0.84,0.67,3.49,2.37,0.86,1.45,,,,,,
February,,,,,,,,,1.51,2.62,3.15,0.49,1.53,0.67,2.32,2.25,,,1.55,4.96,6.06,0.79,1.66,3.07,,,,,,
March,,,,,,,,,1.57,,3.94,2.46,0.51,0.17,0.71,0.91,,,1.53,1.36,4.81,2.03,0.5,2.71,,,,,,
April,,,,,,,,,2.29,1.23,1.63,2.03,0.56,1.28,1.15,2.22,,,1.61,2.44,3.59,1.71,3.03,0.31,,,,,,
May,,,,,,,,,1.1,0.39,2.31,3.41,2.97,0.24,2.08,2.09,,,2.49,0.81,3.42,3.31,2.14,2,,,,,,
June,,,,,,,,,1.13,0.73,2.36,0.41,1.37,2.3,2.67,2.36,,,0.21,0.91,0.75,1.46,1.62,3.07,,,,,,
July,,,,,,,,,5,,3.91,1.42,1.98,2.77,2.97,1.89,,,1.04,4.57,1.95,1.08,3.39,2.25,,,,,,
August,,,,,,,,,1.49,0.1,4.67,2.1,1.8,1.79,1.47,4.38,,,1.75,4.49,4.9,3.14,1.68,2.98,,,,,,
September,,,,,,,,,0.58,1.72,0.16,1.72,0.99,2.43,2.69,5.34,,,1.86,3.28,3.48,3.78,1.87,2.78,,,,,,
October,,,,,,,,,4.42,,1.26,3.76,3.84,4.3,4.3,0.82,,,7.5,0.42,0.66,4.36,4.09,2.69,,,,,,
November,,,,,,,,,6.58,8.6,3.29,1.66,1.5,4.24,0.3,6.02,,,3.22,5.54,7.87,3.85,1.2,6.09,,,,,,
December,,,,,,,,,0.96,1.64,1.92,3.86,1.82,1.78,2.21,2.69,,,1.72,1.53,2.62,2.56,0.66,3.26,,,,,,
Total,,,,,,,,,31.8,,31.44,26.75,24.1,23.96,24.38,33.32,,,25.32,30.98,43.6,30.44,22.7,32.66,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Owing to proximity of hedge and trees gauge is mounted on post 8ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Mar July Oct Part estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Dec 10 Gauge moved 20ft S and set at 1 ft above ground,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 In July observer reported 2 small holes in funnel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947/48 No observations as observer on military service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 The gauge might have been moved a few doors down the road The NGR on the sheet matches the distance to the new church,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 The elevation doesn't change much along the road so if any move will not have a big impact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951 Mar New gauge purchased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
