BIRMINGHAM-WW-LLYN-GYNON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SN805653,Long,-3.7514,Lat,52.2735,Elevation,1500,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,4135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,9.15,5,8.15,6.2,3.2,8.35,7.65,9.25,10,9.42,8.93,7.16,5.98,8.75,9.4,13.3,2.6,10,9.8,9.15,7.1,7.35,4.1,7.1,10,11.1,9.6,4.4,3.65,8.55,10.25,9.15,5.8,7.65,,13.75,5.15,4.6,6.7,7.15,3.75,5.7,5.55,8.6,6.45,7.25,7.8,11.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,2.75,7.45,10.35,8.7,2.35,6.45,4.4,5.1,0.8,8.27,15.14,1.9,11.45,4.95,6.35,8.5,1.95,0.55,7.95,0.25,7.65,0.8,8.15,3.4,9.8,4.1,7.8,5.3,9,2.3,6.9,5.25,8.1,9.85,,4.5,2.95,8.55,7,5.95,4.05,7.44,2.85,1.7,6.45,10.5,1.5,9.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,9.45,9.75,2.5,5.7,,4.25,9.15,7.5,7.45,5.1,2.96,2.8,3.38,2.98,7.13,4.65,0.75,4.3,1.4,5.3,4.7,6.1,2.65,3.75,3.95,2.15,4.2,5.05,5.7,5.4,2.8,1.4,3.4,1.85,,3.7,4.5,3.55,8.05,3.7,5.75,4.65,,5.15,5.75,1.7,5.5,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,8.55,2.3,3.3,5.7,5,1.35,5.4,9.6,2.7,4.97,3.7,6.1,5.05,3.65,4.73,2.4,1.3,4.35,7.25,5.4,1,5.55,6.5,3.45,7.5,1.4,4.75,3.95,2.9,4.15,3.15,2.25,4.15,2.25,5.25,3.4,6.4,5.8,6.3,3.6,4.85,3.65,,2.7,0.55,2.85,7.15,5.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,5.1,4.13,3.85,5.15,4.55,4.9,1.44,5.9,3.63,2.12,6.17,8.3,6.18,5.02,2.45,1.3,4.2,3.9,4.5,5.6,2.5,4.3,2.45,3.2,2.8,3.9,1.15,2.05,4.55,7.65,6,3.8,4.95,3.15,3.8,2.95,6.3,2.25,3.6,3.3,3.75,3.8,6.58,2.5,3.25,4.75,1,2.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,6.8,5.1,2.45,1.9,5.3,4.15,3.4,5.02,3.85,1.3,4.6,3.26,3.93,0.38,4.67,8.9,9.2,5.85,2.3,4.9,2.2,5.5,3.55,6.65,6,3.1,7.2,4,1.1,1.8,1,5.95,4.5,6.35,5.3,,8.3,0.65,2.75,1.7,4,2.1,6.45,6.55,4.2,2.95,5.75,3.35,3.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,5.08,2.75,7,5.8,4.75,3.4,6.5,3.75,8.4,3.6,7.35,5.97,8.27,4.98,8.43,7.13,4.55,5.5,10.35,6.25,7.6,4.9,3.6,1.95,9.8,3.5,8.1,10.55,11,4.5,8.25,5.2,5.05,4,4.7,4.2,4.85,1.15,5.1,3.3,2.55,7.55,8.85,1.3,4.65,9.7,5.05,6.05,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,15.9,5.3,5.2,6.35,5.25,16.25,3.14,4.2,3.98,9,4.8,6.72,10.05,5.35,8.18,12.9,8.2,4.5,9.3,6.4,1.65,3,8.35,3.55,1.45,1.45,5.7,3.95,2.6,8.8,5.8,6.55,4,4.7,11.75,1.05,6.25,4.5,8.7,8.1,6.15,5.25,7.8,1.19,10.9,10.85,5.05,0.8,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.05,3.7,3.45,1.7,6.65,4,13.65,4.65,6.23,3.27,6.82,8.54,8.67,6.85,5.92,9.7,2.45,2.25,9.2,4.2,7.35,1.5,4.25,12.5,5.7,5.45,3.35,1.5,4.6,1.45,5.75,7.55,7.75,,8.35,4.5,7.6,2.05,13.25,5.4,5.15,7,7.75,8.5,6.05,12.95,9.45,0.75,6.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.6,6.5,3.65,3.95,13,,5.6,3.35,7.4,3.6,1.53,13,7.57,10.35,6,6.93,8.9,11.4,12.7,3.85,13.75,8.4,9.6,10.75,6.8,4.9,10.35,3.85,7.7,7.2,11.3,6,11.25,4.7,3.25,1.7,6.85,8.8,3.7,2.4,7.9,4.05,10.95,5.6,5.65,7.9,8.35,10.25,7.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
