"GREAT LEIGHS, LYONS HALL",,,,,,,,,,,,
Grid ref,TL737155,Long,0.518329,Lat,51.811144,,,,,,,
Station no,RR4142,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.13,0.61,0.53,1.67,2.14,0.94,3.07,0.88,0.65,0.75,,
February,2.48,1.05,0.96,0.69,2.39,0.74,2.13,0.72,1.34,0.79,,
March,0.92,2.38,1.46,1.90,1.52,2.68,1.61,0.71,2.13,2.15,,
April,0.43,1.73,0.56,1.67,0.75,1.98,0.83,3.17,2.98,1.66,,
May,0.86,0.81,2.36,2.53,1.72,0.91,1.58,2.29,1.47,1.11,,
June,2.09,1.31,3.44,5.22,0.63,2.92,1.81,2.08,0.71,3.86,,
July,0.87,4.13,1.02,4.59,2.39,1.35,1.36,1.90,2.84,3.01,,
August,2.18,1.40,3.18,3.69,3.11,2.77,0.71,1.70,2.51,2.38,,
September,0.37,1.20,0.62,2.28,1.20,1.85,1.40,0.48,0.98,2.53,,
October,0.95,2.76,1.34,4.80,1.10,0.99,4.13,3.06,1.45,4.07,,
November,1.55,0.84,1.45,1.93,0.99,2.19,4.15,2.04,0.92,0.97,,
December,2.40,3.35,1.20,1.30,1.54,0.58,2.04,2.43,1.93,3.20,,
Total,17.23,21.57,18.12,32.27,19.48,19.85,24.82,21.46,19.91,26.48,,
Calc annual,17.23,21.57,18.12,32.27,19.48,19.90,24.82,21.46,19.91,26.48,,
Difference,0.00,0.00,0.00,0.00,0.00,-0.05,0.00,0.00,-0.00,0.00,,
