"GLEN FRUIN (AUCHINGAICH RESERVOIR NORTH)",,,,,,,,,,,,
Grid ref,NS276918,Long,-4.772440,Lat,56.087813,,,,,,,
Station no,5330/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,9.03,6.07,5.00,7.80,4.35,6.66,10.90,8.27,3.03,3.32,,
February,4.69,2.91,4.25,7.45,2.43,1.74,5.93,3.93,3.56,6.37,,
March,5.20,6.17,2.59,4.80,2.14,5.17,8.80,1.46,5.69,5.88,,
April,3.76,2.58,3.90,3.10,3.91,1.72,5.01,2.08,5.43,7.29,,
May,3.83,2.30,3.98,4.82,5.65,4.06,3.73,6.32,2.82,4.02,,
June,2.58,4.31,1.70,5.01,4.39,4.60,3.00,3.01,4.65,4.98,,
July,4.88,2.59,7.37,3.86,1.97,6.22,8.25,8.35,9.65,7.56,,
August,8.20,4.70,6.01,2.65,2.64,6.76,7.73,8.33,3.15,5.54,,
September,4.00,5.86,9.28,10.61,6.82,8.46,5.23,5.32,2.87,5.31,,
October,2.21,8.39,5.08,16.19,7.09,5.19,7.73,5.58,6.30,5.52,,
November,11.50,2.86,12.46,9.13,5.64,3.37,5.15,2.50,8.57,8.16,,
December,12.58,7.65,5.07,16.35,10.59,11.22,8.84,8.01,16.36,9.74,,
Total,72.46,56.39,66.69,91.77,57.62,65.17,80.30,63.16,72.08,73.69,,
Calc annual,72.46,56.39,66.69,91.77,57.62,65.17,80.30,63.16,72.08,73.69,,
Difference,-0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
