BENTLEY MARELANDS,,,,,,,,,,,,
Grid ref,SU794439,Long,-0.865236,Lat,51.188820,,,,,,,
Station no,RR8515,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,,0.90,2.32,1.28,,
February,,,,,,,,1.62,0.99,0.26,,
March,,,,,,,,0.99,3.17,4.00,,
April,,,,,,,,4.17,2.39,1.92,,
May,,,,,,,,2.18,1.97,1.81,,
June,,,,,,,,2.42,0.91,4.60,,
July,,,,,,,,1.81,1.65,2.60,,
August,,,,,,,,2.64,3.75,1.80,,
September,,,,,,,,0.56,2.64,2.32,,
October,,,,,,,,6.88,2.46,6.12,,
November,,,,,,,,2.35,0.85,0.50,,
December,,,,,,,,3.81,2.66,4.14,,
Total,,,,,,,,30.33,25.76,31.35,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.33,25.76,31.35,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,0.00,,
