BENTLEY-MARELANDS,,,,,,,,,,,,,,,,,,,,
Grid ref,SU793438,Long,-0.86669,Lat,51.18813,Elevation,310,ft,,,,,,,,,,,,
Station no,RR8515,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,0.9,2.32,1.28,2.75,1.29,3.32,4.06,0.75,,,,,
February,,,,,,,,1.62,0.99,0.26,4,1.61,2.68,1.06,5.19,,,,,
March,,,,,,,,0.99,3.17,4,1.07,1.75,3.86,3.68,4.47,,,,,
April,,,,,,,,4.17,2.39,1.92,1.98,1.72,0,3.19,1.62,,,,,
May,,,,,,,,2.18,1.97,1.81,1.77,3.28,1.68,2.44,1.58,,,,,
June,,,,,,,,2.42,0.91,4.6,4.46,2.05,3.82,0.36,0.51,,,,,
July,,,,,,,,1.81,1.65,2.6,2.17,0.47,1.64,1.2,2.33,,,,,
August,,,,,,,,2.64,3.75,1.8,3.1,0.54,4.59,1.2,1.57,,,,,
September,,,,,,,,0.56,2.64,2.32,0.32,0.81,3.34,2.86,1.11,,,,,
October,,,,,,,,6.88,2.46,6.12,3.08,3.55,3.26,3.85,2.45,,,,,
November,,,,,,,,2.35,0.85,0.5,4.13,4.16,2.13,3.16,3.52,,,,,
December,,,,,,,,3.81,2.66,4.14,5.84,8.76,4.09,1.58,10,,,,,
Total,,,,,,,,30.33,25.76,31.35,34.67,29.99,34.41,28.64,35.1,,,,,
,,,,,,,,,,,,,,,,,,,,
Large gardens NGR in kitchen garden,,,,,,,,,,,,,,,,,,,,
