WOLVERHAMPTON-COPTHORNE-ROAD,,,,,,,,,,,,,,,,,,,,,
Grid ref,SO903971,Long,-2.1445535,Lat,52.571633,Elevation,505,ft.,,,,,,,,,,,,,
Station no,2318/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.08,2.06,2.67,2.07,2.88,2.75,4.38,1.32,5.36,,1.99,1.98,2.58,0.76,,3.05,,,
February,,,3.12,5.01,0.77,3.39,1.71,2.12,2.29,0.69,0.59,,0.27,3.25,0.35,2.64,,3.58,,,
March,,,1.95,1.38,1.4,0.91,0.7,2.23,1.89,0.21,3.69,,1.6,2.69,2.54,0.66,,2.33,,,
April,,,2.5,2.38,2.75,2.18,2,1.64,1.16,0.78,2.95,,3.61,0.83,2.54,3.58,,2.64,,,
May,,,1.13,1.66,4.86,2.94,3.15,1.49,0.35,2.61,2.58,,6.35,1.36,1.01,1.25,,2,,,
June,,,0.73,0.4,2.18,0.12,1.63,4.28,2.53,1.83,1.22,,0.97,3.18,1.2,4.25,,0.58,,,
July,,,5.11,3.08,3.55,3.08,2.61,6.38,1.27,2.29,5.64,,4.21,1.92,0.9,0.42,,2.91,,,
August,,,4.23,2.14,4.11,2.85,2.36,4.14,2.8,2.25,3.29,,2.71,0.78,2.71,1.43,,1.18,,,
September,,,2.55,2.28,3.03,3.43,0.93,4.07,1.2,0.67,3.52,,2.62,0.78,1.77,3.37,,2.11,,,
October,,2.52,0.41,3.66,3.77,3.53,2.39,1.91,4.41,4.4,3.02,,4.54,5.37,1.62,4.18,,2.01,,,
November,,1.73,1.02,2.03,1.79,1.73,5.79,3.99,3.94,6.62,3.24,,2.41,0.92,2.05,5.52,,1.47,,,
December,,1.91,3.39,3.34,2.71,2.59,0.63,2.32,2.1,5.41,3.06,,0.91,0.41,4.69,2.9,,2.19,,,
Total,,,30.22,29.42,33.59,28.82,26.78,37.32,28.32,29.08,38.16,,32.19,23.47,23.96,30.96,,26.05,,,
,,,,,,,,,,,,,,,,,,,,,
NGR is on Copthorne Road at the stated altitude,,,,,,,,,,,,,,,,,,,,,
