WELLINGTON-OLD-HALL-SCHOOL,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ656109,Long,-2.5104287,Lat,52.69468,Elevation,373,ft.,,,,,,,,,,,,
Station no,RR8045,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,1.89,1.4,3.86,2.22,1.84,0.68,0.44,2.43,,,,,,,
February,,,,,,0.82,2.46,2.26,0.99,1.59,2.34,3.04,2.37,,,,,,,
March,,,,,,0.58,2.33,2.48,0.89,0.83,0.82,2.29,1.65,,,,,,,
April,,,,,,0.71,3.02,2.08,1.73,2.64,1.93,1.04,2.82,,,,,,,
May,,,,,,1.68,0.63,2.06,5.69,1.94,2.49,1.85,1.45,,,,,,,
June,,,,,,2.76,2.59,1.3,3.36,3.22,2.71,2.99,3.87,,,,,,,
July,,,,,,6.52,3.11,5.6,2.84,4.2,5.7,1.56,4.85,,,,,,,
August,,,,,,3.82,2.99,4.36,5.19,6.87,0.83,4.12,2.36,,,,,,,
September,,,,,,4.23,4.33,3.22,2.84,2.29,3.01,1.53,1.84,,,,,,,
October,,,,,,4.61,2.54,2.28,3.85,1.32,4.8,2.68,4.8,,,,,,,
November,,,,,,3.24,3.35,2.19,2.83,0.88,2.15,2.05,4.05,,,,,,,
December,,,,,,1.14,4.09,1.71,1.9,0.74,3.47,3,3.34,,,,,,,
Total,,,,,,32,32.84,33.4,34.33,28.36,30.93,26.59,35.83,,,,,,,
,,,,,,,,,,,,,,,,,,,,
NGR is Old Hall at the correct altitude and relationship to Church.,,,,,,,,,,,,,,,,,,,,
Current Old Hall School is further north but is too low and also a modern building that was not a school in the 19th century.,,,,,,,,,,,,,,,,,,,,
"Old Hall School was originally in Old Hall in the 1840, there are schools on old OS maps 100 yards north, which may be the location.",,,,,,,,,,,,,,,,,,,,
"Dr J E Cranage, the observer, founded Old Hall School and lived there",,,,,,,,,,,,,,,,,,,,
