YEOVIL-KINGSTON,,,,,,,,,,,,,,,,,,,,
Grid ref,ST554162,Long,-2.63532,Lat,50.94365,Elevation,186,ft,,,,,,,,,,,,
Station no,RR6873,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,3.67,0.7,1.78,1.05,4.86,3.8,2.63,1.14,3.23,3.79,0.72,4.69,0.87,0.96,
February,,,,,,0.46,0.41,3.99,2.1,3.43,5.36,1.26,1.23,1.61,4.25,0.84,2.61,1.21,1.17,
March,,,,,,,3.13,3.81,0.79,0.45,1.49,2.57,1.84,4.02,1.45,4.42,1.07,0.55,3.33,
April,,,,,,2.61,0.64,2.42,1.67,3.74,1.48,2.84,2.13,3.37,1.47,2.06,0.94,4.72,2.38,
May,,,,,,0.18,0.15,1.43,4.13,2.16,2,1.63,2.24,-999,2.27,0.39,2.49,1.9,1.54,
June,,,,,,1.13,2.67,3.41,0.81,0.98,2.38,0.86,4.32,-999,1.19,3.57,1.91,1.97,0.37,
July,,,,,,3.07,1.86,1.12,0.5,1.13,1.35,3.98,2.15,2.74,4.9,0.38,1.17,1.08,1.46,
August,,,,,,3.01,1.11,3.65,1.23,1.11,2.1,1.91,3.29,3.31,3.19,3.34,1.15,1.94,2.71,
September,,,,,,0.67,5.86,3.22,1.62,2.6,1.18,2.11,1.69,2.81,1.69,1.28,0.77,0.57,1.93,
October,,,,,,2.97,1.95,1.32,4.03,1.84,4.77,1.82,2.24,6.58,1.52,2.39,4.78,7.16,1.56,
November,,,,,,7.34,1.03,0.79,3.64,3.93,2.74,0.92,4.14,1.53,1.14,3.79,3.05,3.5,0.66,
December,,,,,,3.17,5.42,6.18,2.91,2.85,5.63,5.9,1.73,3.27,2.91,0.82,1.45,4.39,1.62,
Total,,,,,,,24.93,33.12,24.48,29.08,34.28,28.43,28.14,38.13,29.77,24,26.08,29.86,19.69,
,,,,,,,,,,,,,,,,,,,,
7 Kingston Court Rd,,,,,,,,,,,,,,,,,,,,
Kingston Court Rd not found but census puts it between Parkway and Princes St and only has 2 houses This seems likely and matches elevation,,,,,,,,,,,,,,,,,,,,
Gauge generally read between 9 and 10 am ,,,,,,,,,,,,,,,,,,,,
1895 Mar Lost,,,,,,,,,,,,,,,,,,,,
1895-1898 Amount entered in error under date observation made rather than previous day,,,,,,,,,,,,,,,,,,,,
1903 May-June Bracketed Combined value 5.66,,,,,,,,,,,,,,,,,,,,
1905 Gauge moved 12ft NE early in year,,,,,,,,,,,,,,,,,,,,
