HAREFIELD-THE-SCRUBBS,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ067915,Long,-0.46042969,Lat,51.612229,Elevation,338,ft.,,,,,,,,,,,,
Station no,RR6226,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,0.81,2.5,2.79,0.91,4.18,0.84,1.55,0.73,1.97,1.25,,,,,,,,
February,,,1.26,0.64,2.74,0.56,2.1,1.32,1.06,0.49,3.22,1.72,,,,,,,,
March,,,1.97,3.32,1.45,3.64,1.46,0.93,2.97,2.82,1.03,1.5,,,,,,,,
April,,,0.75,2.09,1.15,1.57,0.43,3.07,2.72,1.67,1.14,1.59,,,,,,,,
May,,,2.23,3.35,3.05,0.65,1.49,1.59,1.51,1.22,2.33,1.93,,,,,,,,
June,,,3.59,5.42,0.7,4.01,2.2,1.93,1.44,3.59,3.1,2.05,,,,,,,,
July,,,1.35,3.85,2.71,0.66,1.92,1.78,3,2.98,1.95,0.5,,,,,,,,
August,,,4.93,3.33,2.47,2.71,1.17,1.79,2.9,1.81,3.37,1.49,,,,,,,,
September,,,0.9,2.12,1.45,1.73,1.35,0.69,1.52,2.43,0.49,1.19,,,,,,,,
October,,,1.68,7.57,1.64,1.31,4.22,4.75,2.66,4.92,2.4,2.86,,,,,,,,
November,,,1.73,1.6,1.51,2.78,3.52,2.6,0.83,0.74,3.24,3.42,,,,,,,,
December,,,1.49,2.24,2,0.95,2.4,3.4,2.28,3.03,4.27,5.45,,,,,,,,
Total,,,22.69,38.03,23.66,21.48,26.44,24.69,24.44,26.43,28.51,24.95,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"NGR is a place called Shrubs (note Note Scrubbs), near Harefield. Altitudes match. ",,,,,,,,,,,,,,,,,,,,
"There is a reservoir 250m W, which might be the location.",,,,,,,,,,,,,,,,,,,,
No other information on the record to confirm location. ,,,,,,,,,,,,,,,,,,,,
Scrubs Lane and Wormwood Scrubs are 19km E and unlikely to be the location,,,,,,,,,,,,,,,,,,,,
