SPILSBY - DALBY GRANGE,,,,,,,,,,,,,,
Grid ref,TF412712,Long,0.113,Lat,53.219,Elevation,250,ft,,,,,,
Station no,RR4181,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904
January,2.43,0.68,2.04,3.07,4.73,1.03,2.59,1.18,2.78,3.83,0.99,1.09,1.95,2.03
February,0.16,2.23,3.29,1.69,0.57,0.76,3.33,1.45,1.26,5.05,2.02,1.47,0.43,3.19
March,2.02,1.66,0.47,0.82,2.40,2.65,2.89,1.16,1.63,0.59,2.19,1.48,3.85,1.89
April,1.48,1.47,0.21,1.74,1.34,1.25,1.09,2.12,2.12,1.24,1.52,1.75,1.98,0.84
May,3.53,2.67,1.03,1.88,1.40,0.85,1.52,1.58,2.64,1.78,1.30,3.95,3.37,1.93
June,2.82,3.07,1.56,3.15,1.47,1.09,2.57,1.95,2.05,2.19,2.22,3.13,1.65,0.43
July,3.41,3.27,2.80,3.02,3.85,2.55,0.76,0.65,1.79,1.41,1.93,2.03,2.97,3.36
August,4.89,1.90,1.15,2.81,3.90,1.58,2.21,3.42,0.33,4.45,2.14,3.46,5.59,4.37
September,1.41,3.61,1.24,1.03,0.46,5.21,3.25,0.21,3.06,0.93,1.63,1.14,4.93,2.80
October,4.79,6.28,2.02,4.00,2.70,5.58,0.63,3.36,3.26,2.72,3.31,2.64,6.68,1.10
November,3.26,1.17,2.66,2.80,2.89,1.39,1.89,2.05,1.56,2.84,2.02,1.68,2.78,1.14
December,4.01,1.40,2.41,2.74,1.90,4.48,2.05,2.24,2.08,4.48,6.02,1.21,1.47,2.65
Total,34.21,29.41,20.88,28.75,27.61,28.42,24.78,21.37,24.56,31.51,27.29,25.03,37.65,25.73
,,,,,,,,,,,,,,
TYRain_1890-1899_13_pt1/186,,,,,,,,,,,,,,
TYRain_1900-1909_17_pt1/157,,,,,,,,,,,,,,
