"STANDON PUMPING STATION",,,,,,,,,,,,
Grid ref,TL382226,Long,0.006578,Lat,51.884838,,,,,,,
Station no,963/8/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,,,,,
February,,,,,,,,,,,,
March,,,,,,,,,,,,
April,,,,,,,,,,,,
May,,,,,,,,,,,,
June,,,,,,,,,,,,
July,,,,,,,,,,2.77,,
August,,,,,,,,,,2.75,,
September,,,,,,,,,,4.74,,
October,,,,,,,,,,5.63,,
November,,,,,,,,,,3.23,,
December,,,,,,,,,,3.45,,
Total,,,,,,,,,,,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,22.57,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
