"EDINBURGH STREATHAM HOUSE",,,,,,,,,,,,
Grid ref,NT248713,Long,-3.205113,Lat,55.928866,,,,,,,
Station no,RR1296,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,0.90,4.30,0.80,3.20,3.10,,
February,,,,,,1.40,1.20,1.30,1.10,1.30,,
March,,,,,,3.00,2.40,2.20,3.70,5.80,,
April,,,,,,1.50,1.10,1.40,1.70,2.50,,
May,,,,,,1.10,5.40,3.10,2.20,1.70,,
June,,,,,,1.10,1.80,2.90,1.20,2.00,,
July,,,,,,1.80,2.00,3.00,4.20,3.80,,
August,,,,,,2.90,5.90,4.50,1.10,2.30,,
September,,,,,,1.50,0.70,1.30,3.10,2.80,,
October,,,,,,2.20,5.90,9.10,1.40,5.20,,
November,,,,,,4.00,3.80,1.30,1.70,0.50,,
December,,,,,,1.60,1.80,4.40,0.50,1.70,,
Total,,,,,,23.00,36.30,35.30,25.10,32.70,,
Calc annual,0.00,0.00,0.00,0.00,0.00,23.00,36.30,35.30,25.10,32.70,,
Difference,NaN,NaN,NaN,NaN,NaN,-0.00,0.00,-0.00,0.00,0.00,,
