BODLE-STREET-BUCKSTEEP-MANOR,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ657161,Long,0.35609408,Lat,50.92057,Elevation,235,ft,,,,,,,,,,,,
Station no,547/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,4.63,5.7,4.49,6.66,2.56,4.39,2.93,6.14,2.14,2.19,2.79,2.53,5.17,1.32,
February,,,,,,2.05,5.62,0.83,1.42,2.43,3.14,0.7,1.69,1.36,1.82,3.28,2.41,1.45,1.51,
March,,,,,,1.29,4.19,0.6,1.79,2.9,2.61,3.6,0.36,0.04,1.48,1.77,7.18,0.77,1.22,
April,,,,,,1.9,2.88,0.49,2.39,1.59,1.3,1.05,1.85,1.39,1.16,1.53,1.84,1.05,1.5,
May,,,,,,0.42,2.39,2.47,1.09,1.59,2.1,2.67,2.23,0.89,2.29,3.43,1.79,1.84,1.68,
June,,,,,,2.53,1.94,1.01,1.32,0.62,2.04,0.3,1.58,1.44,1.46,2.61,2.33,2.11,0.68,
July,,,,,,4.54,1.18,2.12,2.1,2.81,3.14,2.07,1.73,2.19,3.91,1.79,1.19,2.03,0.28,
August,,,,,,0.8,1.49,1.56,1.59,0,4.92,2.45,1.3,2.97,1.55,5.53,0.12,4.94,1.22,
September,,,,,,2.05,2.1,3.87,0.41,2.28,0.44,2.84,1.32,2.43,2.34,3.05,1.56,2.25,1.81,
October,,,,,,1.62,3.77,4.5,7.43,3.91,1.29,3.42,3.14,5.18,2.8,1.25,1.19,2.09,7.55,
November,,,,,,4.79,1.43,3.59,6.6,7.73,4.65,1.79,2.14,5.6,0.41,5.04,1.75,2.31,4.36,
December,,,,,,2.77,4.17,3.95,1.47,2.88,1.98,3.2,2.14,2.16,4.2,3.5,3.23,2.96,1.63,
Total,,,,,,29.39,36.86,29.48,34.27,31.3,32,27.02,25.62,27.79,25.61,35.57,27.12,28.97,24.76,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1940 Aug dash=zero,,,,,,,,,,,,,,,,,,,,
