DALBEATTIE (STATION ROAD),,,,,,,,,,,,,,,,,,,,
Grid ref,NX831615,Long,-3.8260679,Lat,54.934435,Elevation,50,ft,,,,,,,,,,,,
Station no,RR6284,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,8.64,9.56,4.59,4.82,4.17,2.99,3.32,6.5,3.38,3.58,1.6,6.64,4.85,3.1,,,
February,,,,3.82,7.93,6.27,2.76,2.54,0.86,3.04,1.14,0.28,1.99,6.18,7.72,0.4,1.68,,,
March,,,,2.26,5.77,4.5,5.28,1.54,3.01,2.95,2.99,2.6,1.33,2.05,2.47,5.48,6.73,,,
April,,,,3.62,1.69,0.87,2.06,2.26,1.81,3.08,1.13,3.03,1.05,1.24,2.29,4.2,2.35,,,
May,,,,2.79,4.08,2.26,6.22,1.42,3.12,3.36,3.86,2.41,5.41,2.93,3.56,0.02,0.7,,,
June,,,,2.62,0.63,1.68,1.15,0.56,2.54,4.52,4.79,1.1,3.85,1.59,3.86,1.05,2.93,,,
July,,,,2.21,7.46,3.21,4.66,6.11,4.3,4.05,3.44,1.49,3.14,3.18,2.23,7.48,7.51,,,
August,,,,5.46,1.46,3.98,3.29,2.81,3.79,4.93,4.55,7.79,6.71,5.3,3.1,7.49,2.09,,,
September,,,,5.45,4.09,9.56,7.12,5.4,1.1,2.24,3.23,5.53,5.67,2.71,0.42,0.69,5.86,,,
October,,,,4.38,3.1,5.41,6.19,2.37,2.35,5.07,2.49,8.58,4.29,4.56,4.78,4.83,4.98,,,
November,,,,7.69,2.73,3.34,4.97,4.84,8.04,3.32,10.15,6.58,5.04,1.43,7.43,8.21,1.51,,,
December,,,,3.58,5.92,2.84,5.97,5.64,5.84,4.3,1.71,9.11,2.69,7.43,5.58,11,10.14,,,
Total,,,,52.52,54.42,48.51,54.49,39.66,39.75,44.18,45.98,51.88,44.75,40.2,50.08,55.7,49.58,,,
,,,,,,,,,,,,,,,,,,,,
1895 Total,,,,,,,,,,,,,,,,,,,,
