ABERFELDY BOLFRACKS COTTAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 82999 48502,Long,-3.908,Lat,56.613737,Elevation,350,ft,,,,,,,,,,,,,
Station no,5553,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,8.21,1.06,5.74,3.85,6.79,,,,,,,,
February,,,,,,,,,2.82,1.87,0.81,2.45,0.15,,,,,,,,
March,,,,,,,,,5.82,0.64,2.05,0.78,2.05,,,,,,,,
April,,,,,,,,,1.66,1.37,1.53,2.55,,,,,,,,,
May,,,,,,,,,1.29,3.15,1.5,4.45,,,,,,,,,
June,,,,,,,,,3.2,1.92,1.39,5.03,,,,,,,,,
July,,,,,,,,,2.39,2.79,2.1,3.94,,,,,,,,,
August,,,,,,,,,4.87,3.12,6.93,2.14,,,,,,,,,
September,,,,,,,,,4.22,1,4.61,1.18,,,,,,,,,
October,,,,,,,,,6.17,5.12,5.41,2.02,,,,,,,,,
November,,,,,,,,,5.11,4.43,4.71,7.17,,,,,,,,,
December,,,,,,,,,3.63,9.78,6.13,2.65,,,,,,,,,
Total,,,,,,,,,49.39,36.25,42.91,38.21,,,,,,,,,
