BOLFRACKS ABERFELDY,,,,,,,,,,,,,,,,,,,,
Grid ref,NN 82316 48134,Long,-3.918954,Lat,56.610255,Elevation,360,ft,,,,,,,,,,,,
Station no,5553,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,2.7,6.1,7.5,2.8,7.8,6.5,4.3,8,6.2,2.7,3,,,,,,,,
February,,2.5,2.4,2.5,4,3,4.5,4,5.3,8.5,6.3,4.5,,,,,,,,
March,,4.3,3.5,2.5,2.5,2,4.2,3,4.3,1.8,0.5,3.7,,,,,,,,
April,,0.4,3.4,3,1.5,1,2.4,4,4.2,1.5,1.1,3.5,,,,,,,,
May,,1,3,1.5,1.7,3,1,3.1,3,1,3,1.1,,,,,,,,
June,,2.5,5.7,3.5,4,0.8,2.2,2.3,1.6,3.1,0.8,2.6,,,,,,,,
July,,3.8,2.5,0,3,3,4.5,5.5,0.9,2,0.8,4.4,,,,,,,,
August,,5.8,4,5.5,1.5,4,2.5,3.8,5.5,1,1.5,3.7,,,,,,,,
September,,4.25,2.2,2.5,5.5,0.6,5.5,4,2.2,5,4.5,1.6,,,,,,,,
October,,4,6.8,5.5,3,4.2,3,4.4,3,3.3,5.5,5,,,,,,,,
November,,5,4,3,5,4,3.5,0.5,3.3,3.5,1.8,1.1,,,,,,,,
December,,4.4,4.5,4.5,3.7,6.7,4.5,2.5,8,5.5,2.8,4,,,,,,,,
Total,,40.65,48.1,41.5,38.2,40.1,44.3,41.4,49.3,42.4,31.3,38.2,,,,,,,,
