FINDHORN,,,,,,,,,,,,
Grid ref,NJ039644,Long,-3.612237,Lat,57.659203,,,,,,,
Station no,5683/45,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.13,1.90,1.21,1.25,1.29,2.55,2.25,2.83,3.28,2.86,,
February,1.99,0.99,1.59,1.13,1.53,1.82,1.12,2.51,0.46,2.07,,
March,1.55,1.91,1.11,1.37,1.14,0.72,3.14,0.58,1.46,0.79,,
April,2.57,0.82,2.15,0.76,0.81,1.83,0.39,1.47,1.91,1.33,,
May,0.81,1.13,2.73,3.74,2.45,0.84,0.83,3.25,0.80,0.22,,
June,1.82,1.67,1.91,2.14,0.91,2.20,1.49,2.04,1.81,4.57,,
July,2.87,2.08,2.78,3.13,0.52,4.67,6.22,3.06,1.89,2.45,,
August,3.10,2.48,2.56,1.72,0.73,3.73,3.98,3.49,0.98,6.31,,
September,0.65,1.81,2.36,1.89,1.41,2.67,1.32,1.74,0.71,1.69,,
October,1.53,1.26,0.51,4.80,3.29,2.86,1.29,1.94,2.54,2.16,,
November,3.53,2.63,1.95,1.94,0.58,1.48,1.85,1.03,2.06,1.40,,
December,3.12,2.14,2.20,3.94,3.80,2.22,3.09,1.83,1.30,0.89,,
Total,25.67,20.82,23.06,27.81,18.46,27.59,26.97,25.77,19.20,26.74,,
Calc annual,25.67,20.82,23.06,27.81,18.46,27.59,26.97,25.77,19.20,26.74,,
Difference,-0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
