FINDHORN,,,,,,,,,,
Grid ref,NJ039644,Long,-3.612237,Lat,57.659203,Elevation,20,ft,,
Station no,5683/45,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,1.25,1.29,2.55,2.25,2.83,3.28,2.86
February,,,,1.13,1.53,1.82,1.12,2.51,0.46,2.07
March,,,,1.37,1.14,0.72,3.14,0.58,1.46,0.79
April,,,,0.76,0.81,1.83,0.39,1.47,1.91,1.33
May,,,,3.74,2.45,0.84,0.83,3.25,0.8,0.22
June,,,,2.14,0.91,2.2,1.49,2.04,1.81,4.57
July,,,2.78,3.13,0.52,4.67,6.22,3.06,1.89,2.45
August,,,2.56,1.72,0.73,3.73,3.98,3.49,0.98,6.31
September,,,2.36,1.89,1.41,2.67,1.32,1.74,0.71,1.69
October,,,0.51,4.8,3.29,2.86,1.29,1.94,2.54,2.16
November,,,1.95,1.94,0.58,1.48,1.85,1.03,2.06,1.4
December,,,2.2,3.94,3.8,2.22,3.09,1.83,1.3,0.89
Total,,,,27.81,18.46,27.59,26.97,25.77,19.2,26.74
,,,,,,,,,,
1951 BR NP Leak from Gauge Deleted,,,,,,,,,,
1952 BR NP Leak from Gauge Deleted,,,,,,,,,,
1953 BR NP Leak from Gauge Deleted,,,,,,,,,,
,,,,,,,,,,
Station no,5683/45,,,,,,,,,
Midas,16671,,,,,,,,,
Hyd Stn,16671,,,,,,,,,
