KIRNDEAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY 523 912,Long,-2.749667,Lat,55.213371,Elevation,450,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,4.2,3.85,8.8,5.8,7.6,6.1,5.7,3.1,9.5,12.7,6.6,11,4.2,9.8,6.1,1.2,3.2,0.5,4.2,7,9.6,4.3,,,,,,,,,7.53,-999,3,,,
February,,,,,2.5,3.2,5.4,4.4,7.4,9.1,4.2,5.7,5.3,0.8,4.4,2.2,6.4,4.3,3.2,5,5.5,4.2,5.4,4.9,4.3,7.7,,,,,,,,,13.17,-999,4,,,
March,,,,,4.9,2.2,2.6,2.3,6.4,0.3,1.8,2.5,4,1.8,4.6,1.9,5.3,2.5,1.8,3.4,2.7,5.4,5,1.2,4.6,3.5,,,,,,,,,3.4,6.7,7.23,,,
April,,,,,0.5,0.7,1.7,5.3,3.5,2.6,1.4,4.7,1.8,0.1,3.2,1.1,3.1,3.8,2,0.5,4.2,1.3,3.5,1.4,1.2,2.2,,,,,,,,,2.35,2.65,1.7,,,
May,,,,,1.7,6.9,1.6,2.7,2.1,2.1,4.6,1,3,2.1,1.4,1.9,0.3,4,4,2,0.8,3.1,2.4,3.1,4.1,2.3,,,,,,,,,4.42,0.85,0.6,,,
June,,,,,4.5,0.4,2,2.2,1.4,1.6,1.6,2.5,4.7,1.5,1.5,4.4,2.3,2.6,3.3,5.5,1.8,6.5,6.6,3,0.5,1.5,,,,,,,,,3.9,1.3,3.55,,,
July,,,,,2.2,3.35,4.5,4.3,0.7,2.1,1.3,7.1,5.7,5.7,2.5,2.5,1.7,5.6,0.3,4.4,5.2,3.8,8.6,3.6,9.4,2.9,,,,,,,,,2.83,5.9,4.4,,,
August,,,,,2.6,3.3,3.9,4,5.5,0.5,1.4,1.7,5.2,5.4,6.3,3.5,3.6,7.1,5,5.5,0.9,5.5,3,4.2,0.7,3.4,,,,,,,,,5.2,6.7,2.35,,,
September,,,,,6.5,1.1,6,3.3,3.2,8.6,3.4,3.4,7,4.6,4.7,5,3.1,3,5.8,6,4,3,2.3,4.8,3.7,8.1,,,,,,,,,0.68,1.1,8.3,,,
October,,,,,5.8,5.3,3,3.3,5.4,2.8,7.5,4,7.7,5.5,11.5,3,3.6,8.1,3.7,1.7,2.3,3.9,2.8,5.7,1.7,4,,,,,,,,,5.65,4.85,5.2,,,
November,,,,,4,3.8,5.7,0.2,3.7,5.6,3,3.2,7,3.6,5.4,6.4,4,8.7,3.7,0.9,8.5,9,5.5,5.8,2.9,3.9,,,,,,,,,7.85,6.3,1.75,,,
December,,,,,6.9,5,7.2,3,9.8,8.3,3,6.7,7.4,3.4,2.5,5.3,11.4,4.4,2.3,3.7,4,5.5,6.4,4.5,6.4,2.1,,,,,,,,,6.25,6.88,8.93,,,
Total,,,,,46.3,39.1,52.4,40.8,56.7,49.7,38.9,45.6,68.3,47.2,54.6,48.2,49,63.9,41.2,39.8,43.1,51.7,55.7,49.2,49.1,45.9,,,,,,,,,63.23,49.48,51.01,,,
