"GLENCARSE, PITFOUR CASTLE",,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 20079 20902,Long,-3.295558,Lat,56.373633,Elevation,70,ft,,,,,,,,,,,,,
Station no,5570,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.48,5.53,0.96,2.22,2.65,2.75,1.93,2.22,1.05,4.1,3.17,4.09,,
February,,,,,,,,1.04,1.86,1.58,1.4,1.86,0.08,3,0.23,1.47,3.2,3.62,1.17,,
March,,,,,,,,2.28,3.55,0.23,1.18,0.93,2.36,1.78,3.54,1.35,2.39,3.41,0.56,,
April,,,,,,,,0.84,0.8,1.18,1.79,2.16,2.91,0.92,4.41,3.67,0.59,1.52,0.11,,
May,,,,,,,,2.02,1.87,2.81,0.99,2.43,3.36,1.63,1.84,0.73,0.54,2.39,2.07,,
June,,,,,,,3.07,2.6,3.83,1.51,1.91,5.27,0.93,1.43,1.52,2.89,1.09,1.28,2.62,,
July,,,,,,,3.24,2.78,0.7,3.32,2.2,5.81,3.35,4.18,3.63,1.27,5.03,3.29,3.64,,
August,,,,,,,2.02,3.84,5.47,4.12,5.87,2.01,0.46,0.7,3.91,2.31,1.22,4.4,1.24,,
September,,,,,,,2.74,4.56,2.41,0.79,5.28,1.35,1.79,1.75,2.79,3.98,3.82,1.51,2.73,,
October,,,,,,,4.29,5.1,3.72,3.26,3.06,0.68,5.79,2.95,3.26,3.87,1.48,3.81,4.66,,
November,,,,,,,5.3,1.43,2.68,3.57,3.65,5.36,1.09,2.7,0.64,3.96,1.96,0.45,3.79,,
December,,,,,,,0.26,1.79,3.08,4.18,3.49,1.1,4.99,0.95,3.85,1.74,2.69,1.83,2.41,,
Total,,,,,,,,30.76,35.5,27.51,33.04,31.61,29.86,23.92,31.84,28.29,28.11,30.68,29.09,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5570,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd stn,,,,,,,,,,,,,,,,,,,,,
