BODNANT-HALL-FIRST,,,,,,,,,,,,,,,,,,,,
Grid ref,SH799723,Long,-3.800826,Lat,53.23411,Elevation,120,ft.,,,,,,,,,,,,
Station no,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.82,2.56,2.23,6.29,5.18,1.55,6.24,1.51,2.06,2.82,4.14,,2.8,4.26,2.22,3.86,2.45,1.4,3.96,
February,5.04,1.01,1.69,4.89,3.44,1.67,3.42,2.16,2.4,1.27,4.89,,2.86,1.74,4.16,5.91,5.3,0.97,4.62,
March,0.99,4.43,1.8,8,2.43,4.58,3.99,2.29,4.19,3.12,2.67,,4.53,4.36,3.48,0.74,3.17,3.29,0.95,
April,1.57,3.11,1.88,1.03,2.43,2.8,1.12,2.03,1.7,3.11,3.29,,0.41,4.25,0.94,2.26,2.74,2.51,1.14,
May,2.76,1.12,2.69,1.96,2.53,0.37,3.73,2.27,2.14,0.92,1.8,,1.21,2.15,2.19,2.08,3.71,2.94,4.61,
June,2.2,2.05,2.15,1.66,2.86,2.43,0.94,2.92,2.06,2.18,3.13,,3.92,2.24,2.72,1.39,1.71,1.98,1.72,
July,0.88,1.87,1.83,2.31,3.7,2.14,0.82,1.88,2.83,2.74,3.32,,5.95,1.59,3.81,2.81,1.69,0.85,3.07,
August,6.3,3.18,2.15,4.01,5.28,6.03,4.24,2.91,3.83,2.9,5.1,,5.6,1.75,1.54,3.64,1.8,5.98,1.86,
September,0.82,1.69,1.93,5.01,1.77,2,1.49,0.5,3.19,4.8,0.46,,1.02,3.67,2.71,1.53,3.11,0.99,7.69,
October,4.48,2.63,3.16,6.88,1.31,4.21,7.52,8.57,1.7,6.01,3.93,,4.11,2.84,1.65,1.65,6.05,6.41,3.72,
November,4.22,4.83,2.1,4.12,2.11,5.2,2.81,2.99,4.29,1.96,6.07,,4.11,3.94,4.15,4.42,4.18,2.75,2.49,
December,4.27,6.19,3.62,4.15,2.96,0.85,3.13,3.05,2.66,5.02,6.46,,4.15,2.63,9.25,8.38,1.83,2.22,4.73,
Total,37.35,34.67,27.23,50.31,36,33.83,39.45,33.08,33.05,36.85,45.26,,40.67,35.42,38.82,38.67,37.74,32.29,40.56,
,,,,,,,,,,,,,,,,,,,,
NGR is near the Hall at the stated altitude.,,,,,,,,,,,,,,,,,,,,
