UDNY (TILLYCORTHIE) ,,,,,,,,,,
Grid ref,NJ906232,Long,-2.157631,Lat,57.299299,Elevation,352,ft,,
Station no,5649/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,3.76,2.37,3.74,,4.02
February,,,,,,1.84,2.17,5.09,,3.21
March,,,,,,1.88,2.24,5.43,,1.86
April,,,,,,1.63,1.79,1.88,,2
May,,,,,,0.31,1.75,3.02,0.92,0.88
June,,,,,,1.55,3.48,1.78,0.99,1.65
July,,,,,,5.58,8.5,5.41,2.47,3.72
August,,,,,,3.81,5.23,3.5,1.01,4.87
September,,,,,,4.07,3.06,2.19,0.73,2.43
October,,,,,,3.23,1.47,,4.16,7.76
November,,,,,,1.93,1.69,,5.07,5.05
December,,,,,,4.22,4.15,,4.51,2.16
Total,,,,,,33.81,37.9,,,39.61
,,,,,,,,,,
1960 Apr Est,,,,,,,,,,
,,,,,,,,,,
Station no,5649/7,,,,,,,,,
Midas,165,,,,,,,,,
Hyd No,935974,,,,,,,,,
