LOCHAN NAN CAT,,,,,,,,,,
Grid ref,NN648424,Long,-4.201106,Lat,56.554056,Elevation,2360,ft,,
Station no,5556/6/6,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,2.05,
February,,,,,,,,4.4,3.7,
March,,,,,,,,3.27,6.95,
April,,,,,,,,4.7,5.85,
May,,,,,,,,6.2,2.95,
June,,,,,,,,5,3.6,
July,,,,,,,,6.68,9.24,
August,,,,,,,,7.93,,
September,,,,,,,,9.22,,
October,,,,,,,,7.88,,
November,,,,,,,,1.85,,9.81
December,,,,,,,,7,,11.5
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5556/6/6,,,,,,,,,
Midas,15114,to 1975,,,,,,,,
Hyd Stn,861675,,,,,,,,,
