LOCHAN NAN CAT (OLD SITE),,,,,,,,,,,,
Grid ref,NN649425,Long,-4.199532,Lat,56.554983,,,,,,,
Station no,5556/6/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,7.50,4.28,4.29,12.14,6.80,2.18,6.22,,
February,,,,6.34,4.50,3.15,7.19,,3.50,5.50,,
March,,,,6.70,1.35,3.55,6.95,,6.50,3.02,,
April,,,,3.50,3.79,3.39,4.21,,6.69,6.63,,
May,,,,5.37,6.00,5.88,3.80,,2.70,5.00,,
June,,,,4.61,3.49,5.55,2.95,,3.05,4.78,,
July,,,,3.92,1.25,7.44,6.50,,9.55,6.52,,
August,,,,6.82,2.07,7.22,7.80,,3.58,5.48,,
September,,,,10.07,6.30,9.62,5.79,9.30,2.05,5.72,,
October,,,,14.68,5.74,6.06,8.28,6.56,7.34,9.62,,
November,,,,12.57,3.93,3.35,2.45,1.90,9.79,,,
December,,,,12.50,10.77,12.35,11.55,7.00,12.50,,,
Total,,,,94.58,53.47,71.85,79.61,,69.43,,,
Calc annual,0.00,0.00,0.00,94.58,53.47,71.85,79.61,31.56,69.43,58.49,,
Difference,NaN,NaN,NaN,-0.00,0.00,0.00,0.00,NaN,0.00,NaN,,
