LOCHAN NAN CAT (OLD SITE),,,,,,,,,,
Grid ref,NN649425,Long,-4.199532,Lat,56.554983,Elevation,2350,ft,,
Station no,5556/6/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,7.5,,4.29,12.14,6.8,2.18,6.22
February,,,,6.34,,3.15,7.19,,3.5,5.5
March,,,,6.7,,3.55,6.95,,6.5,3.02
April,,,,3.5,,3.39,4.21,,6.69,6.63
May,,,,5.37,,5.88,3.8,,2.7,5
June,,,,4.61,,5.55,2.95,,3.05,4.78
July,,,,3.92,,7.44,6.5,,9.55,6.52
August,,,,6.82,,7.22,7.8,,3.58,5.48
September,,,,10.07,,9.62,5.79,9.3,2.05,5.72
October,,,,14.68,,6.06,8.28,6.56,7.34,9.62
November,,,,12.57,,3.35,2.45,1.9,9.79,
December,,,,12.5,,12.35,11.55,7,12.5,
Total,,,,94.58,,71.85,79.61,,69.43,
,,,,,,,,,,
BR 1954 P Ja mar Estd snow,,,,,,,,,,
see notes about drifting snow,,,,,,,,,,
BR 1955 NP Low deleted,,,,,,,,,,
BR 1956 NP no comment,,,,,,,,,,
BR 1957 P,,,,,,,,,,
BR 1958 NP inc,,,,,,,,,,
BR 1959 P,,,,,,,,,,
BR 1960 NP inc,,,,,,,,,,
,,,,,,,,,,
Station no,5556/6/5,,,,,,,,,
Midas,15113,,,,,,,,,
Hyd Stn,861674,,,,,,,,,
