HINCKLEY-EDWARD-STREET,,,,,,,,,,,,,,,,,,,,,
Grid ref,SP426945,Long,-1.3732311,Lat,52.546691,Elevation,425,ft,,,,,,,,,,,,,
Station no,2498,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,2.42,3.76,1.17,3.5,1.64,1.8,1.9,2.76,0.92,3.61,3.59,,,
February,,,,,,,,2.02,1.63,0.61,0.79,2.95,0.5,3.42,0.74,2.49,2.67,3.84,,,
March,,,,,,,,2.01,1.72,0.1,2.51,0.21,1.8,2.96,2.3,0.82,1.85,3.08,,,
April,,,,,,,,1.99,1.23,1.11,3.01,4.01,3.26,1.51,2.62,3.55,2.23,3.1,,,
May,,,,,,,,1.15,0.64,2.52,2.77,2.96,6.38,1.88,1.07,1.1,1.12,2.6,,,
June,,,,,,,,4.34,2.33,1.39,1.76,2.82,0.99,1.77,0.92,3.72,4.39,2.6,,,
July,,,,,,,,2.32,0.55,1,4.95,3.62,3.65,2.1,1.06,0.71,6.34,2.61,,,
August,,,,,,,,3.48,2.71,2.11,3.64,4.66,1.77,1.32,2.08,1.48,0.86,0.67,,,
September,,,,,,,,4.37,0.69,0.63,3.3,3.02,2.78,1.45,1.73,3.92,2.71,,,,
October,,,,,,,,1.83,3.88,3.52,2.54,0.84,3.65,3.11,2.42,3.38,1.66,,,,
November,,,,,,,,3.68,3.37,5.24,2.81,2.58,2.23,1.82,2.45,5.13,2.75,,,,
December,,,,,,,,2.75,1.87,4.94,2.23,1.11,0.78,0.34,4.37,3.71,2.26,,,,
Total,,,,,,,,32.36,24.38,24.34,33.81,30.42,29.59,23.58,24.52,30.93,32.45,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Total corrected,,,,,,,,,,,,,,,,,,,,,
