PONTYPOOL-LLANTHEWY-VACH-RECTORY,,,,,,,,,,,,,,,,,,,,
Grid ref,ST326961,Long,-2.9757911,Lat,51.659625,Elevation,300,ft.,,,,,,,,,,,,
Station no,RR7886,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,2.25,4.71,1.36,1.71,4.48,7.81,6.17,2.89,6.11,,,
February,,,,,,,,,3.05,8.15,3.88,7.95,3.1,6.69,6.7,5.37,1.14,,,
March,,,,,,,,,2.03,1.54,2.13,4.81,3.7,1.13,3.67,2.08,5.59,,,
April,,,,,,,,,4.09,3.67,3,1.17,6.28,1.09,1.68,2.75,3.12,,,
May,,,,,,,,,6.53,3.85,1.85,2.32,2.92,1.8,1.71,3.42,6.29,,,
June,,,,,,,,,3.64,5.93,2.85,3.32,4.34,4.67,3.04,3.04,1.73,,,
July,,,,,,,,,2.13,5.7,6.65,3.51,4.77,6.59,4.64,0.74,3.68,,,
August,,,,,,,,,7.5,9.74,0.61,5.5,2.86,2.93,1.32,2.08,1.91,,,
September,,,,,,,,,3.2,5.11,4.48,3.39,4.57,8.2,3.81,6.02,2.42,,,
October,,,,,,,,,4.02,1.93,6.13,3.23,8.92,5.31,1.18,4.87,5.68,,,
November,,,,,,,,,4.41,0.97,5.88,8.72,7.63,6.29,2.31,5.86,4.58,,,
December,,,,,,,,,3.15,1.29,6.84,4.99,5.13,1.52,5.99,1.85,5.83,,,
Total,,,,,,,,,46,52.59,45.66,50.62,58.7,54.03,42.22,40.97,48.08,,,
,,,,,,,,,,,,,,,,,,,,
NGR is the rectory to Llanthewy Vach (also Llanddewi Fach).,,,,,,,,,,,,,,,,,,,,
"Stated altitude is 100 ft. too low, OS figure used.",,,,,,,,,,,,,,,,,,,,
