CLYST HYDON RECTORY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST038013,Long,-3.3663,Lat,50.8038,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR267,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1840,1841,1842,1843,1844,1845,1846,1847,1848,1849,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,2.52,2.55,3.17,2,5.67,5.78,2.9,3.15,0,3.42,2.46,0.27,1.85,4.24,0.43,2.73,4.68,2.08,5.02,5.96,5.12,3.2,4.46,2.2,3.32,5.68,5.02,3.52,4.28,0.84,5.18,1.76,4.46,0.84,,,,,,,,,
February,,,,,,,,2.1,4.02,2.12,1.7,0.75,1.35,3.24,0.86,1.55,1.94,2.27,1.28,2.45,1.24,2.58,0.98,0.51,1.88,3.44,3.78,2.71,1.73,2.55,3.2,2.05,4.54,3.34,3.56,2.08,3.58,1.66,1.56,4.36,3.9,,,,,,,,,
March,,,,,,,,3.15,3.94,0.72,0.54,4.98,1.09,1.72,0.34,0.76,1.85,3.76,1.76,1.17,3.15,3.9,5.04,2.21,2.61,1.82,4.26,5.02,1.79,2.15,1.65,1.22,2.8,3.48,0.64,1.28,3.76,2.48,1.98,0.28,2.02,,,,,,,,,
April,,,,,,,,2.46,4.29,2.96,5.18,1.6,1.94,2.26,0.36,0.22,4.42,4.36,4.46,3.08,2.14,0.48,2.61,1.56,1.06,0.76,1.7,3.05,2.12,1.48,1.42,4.86,2.47,1.14,1.78,1.56,2.8,6.08,3.52,3.4,1.76,,,,,,,,,
May,,,,,,,,2.98,1.26,3.55,2.05,1.7,2.28,1.72,3.18,2.5,2.95,2.26,2.41,1.32,3.88,1.14,2.11,1.26,1.64,3.06,1.74,3.14,0.83,5.49,1.29,0.46,2.18,1.12,0.82,2.36,0.28,3.06,4.2,2.3,0.92,,,,,,,,,
June,,,,,,,,1.5,4.25,0.46,1.76,1.46,4.83,3.24,2.73,3.41,1.36,2.44,1.38,1.76,6.14,1.92,2.82,4.06,1.04,1.39,1.69,1.54,0.63,0.54,0,2.18,3.16,1.58,2.12,2.4,1.04,0.76,2.42,5.72,1.66,,,,,,,,,
July,,,,,,,,2.3,2.32,2.75,2.01,3.72,0.96,2.73,3.88,3.27,1.44,2.48,2.52,1.88,1.83,4.04,1.96,0.8,0.58,3.18,0.95,4.52,0.68,0.54,1.42,4.44,4.2,1.85,1.18,4.11,0.7,3.18,1.34,3.3,4.1,,,,,,,,,
August,,,,,,,,1.26,4.38,1.06,3.04,2.14,5.04,2.78,1.32,1.66,4.45,0.3,1.17,4.12,4.67,0.82,1.77,3.26,0.98,4.23,1.76,1.06,4.67,0.65,0.62,1.02,1.62,4.92,3.08,2.28,3.62,3.6,4.32,5.7,0.46,,,,,,,,,
September,,,,,,,,1.42,3.92,2.72,4.26,0.44,3.35,2.02,0.54,1.43,2.8,1.58,2.71,4.6,3.26,2.08,2.46,4.02,3.31,0,8.19,1.86,5.34,4.32,1.68,4.82,3.22,1.61,5.46,3.1,6.22,1.8,2.34,2.86,2.74,,,,,,,,,
October,,,,,,,,7.74,4.54,2.54,2.14,3,4.76,4.03,3.61,4.63,2.27,5.11,2.96,6.12,1.8,1.63,4.88,4.66,2.12,5.64,2.82,3.44,2.9,2.14,4.78,3.66,4.66,1.54,5.1,7.51,3.68,1.9,3.38,0.92,4.7,,,,,,,,,
November,,,,,,,,2.02,2.08,1.76,3.76,2.31,8.29,2.26,2.68,0.96,1,0.76,3.41,3.62,3.07,4.07,1.11,2.93,3.08,4.82,2.05,0.96,3.1,2.66,2.48,1.43,4.98,4.4,3.03,4.88,4.53,5.92,2.9,0.26,2.74,,,,,,,,,
December,,,,,,,,5.06,5.35,5.23,2.8,2.09,5.4,2.34,1.37,2.16,3.92,0.6,3.78,3.09,6.1,2.12,2.46,2.37,2.76,3.69,2.8,1.46,6.68,4.54,2.24,2.75,6.6,0.4,4.11,0.82,8.11,2,2.78,0.9,4.1,,,,,,,,,
Total,,,,,,,,34.51,42.9,29.04,31.24,29.86,45.07,31.24,24.02,22.55,31.82,28.38,28.11,35.06,41.52,25.21,30.93,32.32,23.14,37.05,37.7,33.88,33.67,31.52,22.98,32.21,46.11,30.4,34.4,36.66,39.16,37.62,32.5,34.46,29.94,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDR 1868 Dec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
