DERBY-BREADSALL-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SK376408,Long,-1.4416656,Lat,52.963254,Elevation,280,ft.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,,1.08,2.89,1.68,0.97,1.6,2.01,4.09,0.98,1.98,1.2,3.03,3.85,1.54,1.14,1.92,2.05,0.91,3.36,1.14,1.2,1.1,2.07,0.85,4.63,3.76,1.57,2.55,1.23,2.48,,
February,,,,,,,,,,1.7,0.77,0.1,1.02,2.56,1.96,0.38,0.69,3.22,1.53,1.11,3.53,1.32,1.64,0.97,3.21,0.69,3,1.9,1.39,0.71,1.93,1.96,1.67,0.89,1.32,2.87,4.25,1.01,,
March,,,,,,,,,,3.2,1.35,1.25,0.83,0.32,0.99,1.8,2.94,2.32,0.98,1.19,0.65,1.97,1.65,3.26,1.54,2.8,1.56,1.37,2.58,3.7,0.64,1.37,3.02,3.65,2.42,0.8,3.71,1.61,,
April,,,,,,,,,,2.57,0.41,2.79,0.58,0.67,1.95,2.43,0.99,2.06,1.96,2.53,1.26,1.57,2.05,1.85,1.54,1.79,0.63,1.62,2.31,1.41,1.75,1.38,0.21,3.1,0.85,0.77,1.49,1.13,,
May,,,,,,,,,,3.39,1.66,2.58,2.51,2.42,1.51,0.62,0.39,1.42,2.26,2.74,1.55,1.16,2.86,4.01,1.68,0.56,1.47,3.31,2.28,1.66,2.67,0.92,2.84,1.88,1.61,1.65,2.22,2.32,,
June,,,,,,,,,,0.35,1.91,3.76,3.54,1.03,2.07,1.25,2.16,3.08,1.95,2.46,4.4,2.03,1.86,1.27,0.48,2.32,1.78,3.52,1.69,2.33,1.83,2.27,4.72,1.22,1.92,1.86,1.85,2.56,,
July,,,,,,,,,,3.28,1.97,2.29,2.16,2.11,2.38,3.73,2.15,0.62,1.07,1.49,4.02,3.76,1.62,2.01,2.54,1.13,0.82,2.71,2.34,3.94,2.91,0.06,3.29,0.77,3.95,5.7,1.88,1.44,,
August,,,,,,,,,,3.32,3.18,3.89,2.42,1.48,2.11,2.2,1.57,3.57,2.55,0.65,4.85,1.81,2.78,4.86,2.89,3.49,1.6,3.55,4.09,2.31,3.29,1.56,6.24,1.7,2.19,1.93,1.81,5.32,,
September,,,,,,,,,,2.26,1.84,1.34,3.01,1.81,0.55,0.65,3.85,2.65,0.47,3.01,0.87,1.06,1.34,2.88,1.83,1.73,0.92,0.82,1.6,2.83,0.55,1.47,1.04,1.2,0.9,0.84,0.95,1.53,,
October,,,,,,,,,,2.82,1.53,4.46,2.91,1.79,2.4,2.32,2.56,1.01,3.21,2.72,2.6,1.9,2.75,5.53,0.56,0.85,5.86,3.68,0.83,3.2,2.4,2,3.06,3.36,2.29,2.09,2.55,3.76,,
November,,,,,,,,,,0.94,3.26,2.46,1.42,1.24,1.84,3.19,1.14,2.07,2.32,1.41,2.5,2.19,1.54,2.17,1.37,2.79,2.93,1.96,1.34,0.42,4.18,2.24,2.3,2.15,3.77,2.72,3.25,1.6,,
December,,,,,,,,,,1.7,0.68,3.55,0.99,2.14,2.46,2.02,4.16,2.85,1.79,2.33,4.15,4.9,1.71,1.15,1.45,0.68,2.62,2.8,2.14,4.86,3.96,4.03,2.93,1.04,5.88,4.96,2.45,1.21,,
Total,,,,,,,,,,26.61,21.45,30.15,22.36,19.17,22.23,24.68,23.58,26.85,21.29,24.67,34.23,25.21,22.94,31.88,21.14,19.74,26.55,28.38,23.79,28.47,28.18,20.11,35.95,24.72,28.67,28.74,27.64,25.97,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGR is Breadsall Lodge. Altitudes match.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
