"NELSON (COLDWELL RESERVOIR) NO. 2",,,,,,,,,,,,
Grid ref,SD900362,Long,-2.153387,Lat,53.821975,,,,,,,
Station no,2974,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.90,5.80,2.15,4.25,2.60,6.67,4.30,4.14,3.15,6.08,,
February,4.55,1.90,3.53,4.19,3.39,2.04,4.37,7.70,0.83,4.49,,
March,5.39,2.60,2.05,2.70,1.89,2.06,4.91,1.97,2.11,1.59,,
April,2.58,3.57,3.98,0.96,2.57,3.50,0.46,1.43,3.61,3.11,,
May,3.04,2.29,2.20,4.08,4.24,2.39,1.49,5.36,2.03,2.12,,
June,2.06,3.47,3.78,2.88,3.40,2.49,2.75,5.33,3.70,1.39,,
July,4.84,3.11,6.56,6.75,0.91,4.88,5.46,3.76,3.22,8.50,,
August,4.72,5.82,6.49,8.63,1.30,11.61,6.35,4.98,0.97,7.07,,
September,3.17,4.86,5.04,6.40,3.96,4.51,6.76,5.19,0.33,3.21,,
October,1.62,5.71,2.26,9.38,3.39,3.28,6.59,4.26,5.44,5.62,,
November,10.32,2.57,6.32,7.14,3.03,1.97,2.59,1.89,5.67,8.33,,
December,10.58,4.68,2.50,7.42,6.52,6.39,6.88,4.52,7.81,6.23,,
Total,57.77,46.38,46.86,64.78,37.20,51.79,52.91,50.53,38.87,57.74,,
Calc annual,57.77,46.38,46.86,64.78,37.20,51.79,52.91,50.53,38.87,57.74,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
