STRATHPEFFER SPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH481580,Long,-4.542531,Lat,57.586406,Elevation,220,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,1.75,5.1,2.97,2.22,1.51,4.48,2.75,4.34,2.32,2.96,3.69,2.84,3.18,2.8,3.67,4.09,2.15,2.34,,,,,,,
February,,,,,,2.94,1.79,2.94,1.51,3.67,0.65,2.27,3.55,3.66,6.32,1.04,1.38,1.81,3.56,1.42,1.75,1.99,1.22,,,,,,,
March,,,,,,1.59,1.53,2.02,2.7,1.78,4.47,4.49,1.89,1.54,2.77,3.28,3.48,2.25,1.63,2.33,2.04,2.65,2.71,,,,,,,
April,,,,,,0.8,1.74,1.82,2.35,2.75,1.74,0.71,1.61,1.75,0.53,1.6,1.78,1.25,2.5,3.96,2.77,1.05,1.84,,,,,,,
May,,,,,,2.76,2.85,0.76,1.94,1.53,1.05,2.33,2.75,1.28,2.59,2.12,0.71,2.15,2.5,1.57,1.53,1.48,2.13,,,,,,,
June,,,,,,1.4,1.78,0.47,2.43,0.49,3.08,0.92,1.73,1.15,1.57,4.46,3.49,1.91,1.51,0.88,2.56,2.45,2.07,,,,,,,
July,,,,,,0.83,2.24,2.25,5.06,1.22,3.17,4.53,1.99,2.19,4.03,4.38,2.69,2.03,1.33,1.9,4.29,2.76,2.62,,,,,,,
August,,,,,,0.93,1.06,2.97,1.71,4.43,3.31,2.66,2.2,3.81,3.05,4.41,1.53,2.56,2.33,0.93,3,2.65,1.92,,,,,,,
September,,,,,,4.06,2.54,2.41,0.78,1.83,1.62,2.21,3.11,3.51,0.28,2.08,3.99,2.26,2.88,5.26,2.69,1.39,2,,,,,,,
October,,,,,,3.83,2.24,2.33,2.65,2.45,6.11,1.6,3.62,4.46,1.57,3.21,4.07,2.53,2.14,2.28,3.5,3.06,2.19,,,,,,,
November,,,,,,1.42,3.78,2.26,5.19,3.96,3.37,2.8,2.22,4.04,1.21,2.53,0.9,2.19,3.39,2.4,3.45,2.71,1.11,,,,,,,
December,,,,,,4.53,4.51,3.16,1.63,2.72,0.62,4.45,2.6,3.91,3.94,3.67,3.25,3.58,6.24,3.49,5.12,4,5.25,,,,,,,
Total,,,,,,26.84,31.16,26.36,30.17,28.34,33.67,31.72,31.61,33.62,30.82,36.47,30.11,27.7,32.81,30.09,36.79,28.34,27.4,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Numerous locations around the town,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
associated Dr. Fox & son,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation moves between 200-250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
