"STRATHPEFFER SPA EAGLESTONE",,,,,,,,,,,,
Grid ref,NH484584,Long,-4.537768,Lat,57.590096,,,,,,,
Station no,5772,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,4.55,1.83,3.76,5.26,3.31,2.90,3.63,,
February,,,,5.11,2.13,3.81,3.66,3.31,4.12,1.78,,
March,,,,4.48,0.66,3.24,2.33,3.15,3.33,2.80,,
April,,,,2.16,3.83,1.62,2.42,1.88,0.97,2.11,,
May,,,,1.62,2.00,1.39,3.23,1.93,1.58,1.85,,
June,,,,1.91,1.50,1.85,0.76,3.63,1.23,2.14,,
July,,,,4.12,0.71,1.50,3.15,2.08,0.81,1.98,,
August,,,,3.86,3.20,2.69,3.28,2.55,1.81,1.53,,
September,,,,1.60,2.22,1.86,1.56,0.75,4.06,1.71,,
October,,,,5.17,1.63,2.69,3.46,1.62,0.65,4.52,,
November,,,,2.31,2.21,3.26,4.51,2.27,3.11,2.59,,
December,,,,0.61,3.61,1.86,3.86,2.56,2.93,2.73,,
Total,36.79,28.34,27.40,37.50,25.53,29.53,37.48,29.04,27.50,29.37,,
Calc annual,0.00,0.00,0.00,37.50,25.53,29.53,37.48,29.04,27.50,29.37,,
Difference,36.79,28.34,27.40,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
