CORRIMONY,,,,,,,,,,,,,,,,,,,,
Grid ref,NH 372 299,Long,-4.7054407,Lat,57.331327,Elevation,520,ft,,,,,,,,,,,,
Station no,RR2033,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,9.5,3,6.3,5.34,4.5,9.3,4.7,3.2,3.8,8.45,9.9,5.6,5.1,5.5,,,
February,,,,3.5,4.3,2,3,4.5,8.2,4.6,2.7,3.2,3.6,0.4,1.8,1.5,3.4,,,
March,,,,0.8,3,3.2,4.01,0.7,4,0.6,1.5,5.7,1.3,0.9,4.1,2.4,7.8,,,
April,,,,4,0.7,1.1,1.18,3.6,1.7,1.2,3.5,1.8,1.8,0.9,4.7,0.7,2.2,,,
May,,,,0.9,1,2.4,1.4,2.3,1.2,1,0.8,0.4,3,1.5,1.8,2.5,0.7,,,
June,,,,1.5,0.7,0,1.81,2.5,0.5,1.2,0.7,1.9,5.8,2.3,1.4,2,1.4,,,
July,,,,0,1.4,3.8,3.49,3.9,0,1.1,1.5,3.3,3.4,3,3.7,2.7,1.5,,,
August,,,,3.95,1.3,2.7,4.43,2,5.8,0.3,1.9,2.2,2.4,2.8,5.5,2.9,1.4,,,
September,,,,6,6.1,0.5,4.33,1.5,2.1,7.9,3.5,1.8,5.5,4.7,5.9,2.8,3.2,,,
October,,,,3.7,10.8,4.4,1.2,4.8,4.9,6.6,2.4,3,5.8,5.2,9,3.2,4.6,,,
November,,,,4.7,4.3,3.5,5.85,0.9,2.4,8,1.8,1.1,6.5,4.6,3.2,3.5,2,,,
December,,,,5.2,5.1,5.9,2.42,1.4,4.9,9.3,3.1,6.6,5.25,6.8,1.1,6.3,3.5,,,
Total,,,,43.75,41.7,35.8,38.46,32.6,45,46.5,26.6,34.8,52.8,43,47.8,35.6,37.2,,,
,,,,,,,,,,,,,,,,,,,,
June 1865 and July 1868 interpreted as zeros,,,,,,,,,,,,,,,,,,,,
