"GLEN URQUHART HOUSE",,,,,,,,,,,,
Grid ref,NH446303,Long,-4.583403,Lat,57.336653,,,,,,,
Station no,RR2033,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.23,3.63,2.16,3.78,1.98,3.32,6.59,3.27,3.02,3.62,,
February,2.32,1.45,2.60,2.62,3.67,3.02,3.21,2.41,1.29,1.94,,
March,2.21,2.44,1.77,3.02,1.45,1.55,2.80,1.63,1.46,0.69,,
April,5.45,0.98,2.93,1.45,0.66,1.83,1.11,2.26,4.03,3.95,,
May,1.04,1.94,3.44,4.89,2.72,2.05,1.29,4.01,1.70,0.50,,
June,1.85,1.47,3.92,1.42,0.69,1.49,2.53,1.46,1.95,1.91,,
July,3.31,1.61,3.92,2.41,0.39,6.29,5.87,2.60,3.93,1.58,,
August,4.21,5.00,2.76,1.81,0.37,6.56,5.69,3.94,2.81,4.79,,
September,1.80,2.46,2.13,2.83,2.49,4.17,2.30,2.97,0.64,2.07,,
October,1.32,4.40,1.77,6.64,4.18,4.28,3.47,5.09,4.28,2.16,,
November,4.36,2.98,4.30,3.72,0.95,3.64,2.09,0.94,5.80,2.49,,
December,6.82,4.18,4.14,7.82,6.44,7.17,5.87,2.53,4.96,4.64,,
Total,38.92,32.54,35.84,42.41,25.99,45.37,42.82,33.11,35.87,30.34,,
Calc annual,38.92,32.54,35.84,42.41,25.99,45.37,42.82,33.11,35.87,30.34,,
Difference,0.00,-0.00,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,,
