GLEN URQUHART HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NH442307,Long,-4.5902934,Lat,57.340105,Elevation,470,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,7.13,5.2,4.28,0.1,0.96,4.72,4.98,4.73,4.33,4.57,4.44,3.31,7.63,3.8,4.23,3.63,2.16,3.78,1.98,3.32,6.59,3.27,3.02,3.62
February,,,,,,,3.7,3.89,5.63,0.59,2.55,2.32,4.47,3.03,4.54,4.05,0.52,5.99,4.41,4.9,2.32,1.45,2.6,2.62,3.67,3.02,3.21,2.41,1.29,1.94
March,,,,,,,3.6,3.53,3.38,2.65,2.26,0.66,2.67,1.97,2.47,1.54,2.12,2.58,2.89,2.46,2.21,2.44,1.77,3.02,1.45,1.55,2.8,1.63,1.46,0.69
April,,,,,,,0.23,0.64,1.58,2.45,1.58,1.72,3.7,1.64,1.57,1.82,9.25,3.43,2.37,5.24,5.45,0.98,2.93,1.45,0.66,1.83,1.11,2.26,4.03,3.95
May,,,,,,,1.14,2.24,0.92,1.14,2.35,2.4,3.38,2.57,3.04,1.42,2.28,2.77,1.7,1.31,1.04,1.94,3.44,4.89,2.72,2.05,1.29,4.01,1.7,0.5
June,,,,,,,1.12,4.24,1.16,0.93,0.54,0.99,2.26,3.1,2.71,3.46,3.84,3.86,1.17,1.48,1.85,1.47,3.92,1.42,0.69,1.49,2.53,1.46,1.95,1.91
July,,,,,,3.88,2.69,4.86,4.88,8.35,1.78,2.06,2.21,1.82,2.09,5.59,2.32,3.61,0.86,1.41,3.31,1.61,3.92,2.41,0.39,6.29,5.87,2.6,3.93,1.58
August,,,,,,1.19,2.82,1.71,1.4,1.34,4.32,2.85,3.97,1.49,1.3,1.95,0.49,7.17,4.53,3.72,4.21,5,2.76,1.81,0.37,6.56,5.69,3.94,2.81,4.79
September,,,,,,3.46,2.41,2.18,0.91,0.96,1.2,4.4,2.36,3.59,3.08,5.21,4.42,3.62,1.29,6.7,1.8,2.46,2.13,2.83,2.49,4.17,2.3,2.97,0.64,2.07
October,,,,,,4.53,1.82,6.65,1.36,3.89,3.94,4.59,4.79,5.03,4.41,0.39,1.14,2.76,2.92,3.86,1.32,4.4,1.77,6.64,4.18,4.28,3.47,5.09,4.28,2.16
November,,,,,,3.17,0.31,7.27,4.25,6.87,5.77,1.68,3.95,4.22,0.27,3.26,8.57,3.06,2.12,4.32,4.36,2.98,4.3,3.72,0.95,3.64,2.09,0.94,5.8,2.49
December,,,,,,10.17,0.95,4.31,2.69,7.05,7.37,4.88,1.86,4.4,3.69,3.15,2.53,6.13,8.84,4.36,6.82,4.18,4.14,7.82,6.44,7.17,5.87,2.53,4.96,4.64
Total,,,,,,,27.92,46.72,32.44,36.32,34.62,33.27,40.6,37.59,33.5,36.41,41.92,48.29,40.73,43.56,38.92,32.54,35.84,42.41,25.99,45.37,42.82,33.11,35.87,30.34
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Transcribed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
