MACCLESFIELD-WHIRLEY,,,,,,,,,,,,,,,,,,,,
Grid ref,SJ886751,Long,-2.1724035,Lat,53.272761,Elevation,495,ft.,,,,,,,,,,,,
Station no,2726/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,2.92,3.57,4.05,,1.07,2.95,4.11,3.61,3.27,3.44,2.2,6.26,,
February,,,,,,,5.21,1.42,2.12,3.17,3.9,,2.42,1.53,2.99,5.54,0.7,1.61,,
March,,,,,,,2.31,1.5,1.94,2.47,2.47,,0.93,1.96,1.29,1.53,4.77,1.1,,
April,,,,,,,4,0.29,2.17,2.17,1.67,,1.7,2.23,2.04,1.67,2.38,0.76,,
May,,,,,,,2.22,3.04,1.51,1.6,1.95,,2.46,3.01,3.54,1.22,2.67,0.8,,
June,,,,,,,2.15,3.29,2.22,1.18,0.67,0.78,3.45,3.2,3.32,3.77,1.65,5.46,,
July,,,,,,,3.77,6.12,7.05,4.16,2.37,4.04,1.58,3.43,1.21,5.74,3.04,1.98,,
August,,,,,,,1.16,3.06,1.57,1.76,5.27,,2.88,3.05,2.42,5.47,0.51,3.92,,
September,,,,,,,1.37,2.42,1.15,2.84,0.77,2.26,3.46,2.65,2.08,3.82,1.71,1.3,,
October,,,,,,,1.84,5.22,1.95,3.57,4.81,4.45,2.86,4.05,5.78,0.46,0.6,0.87,,
November,,,,,,,1.43,4.15,6.02,6.61,2.63,0.59,2.66,5.7,0.43,5,2.79,1.84,,
December,,,,,,,2.64,4.08,2.19,3.07,1.46,3.7,2.84,2.9,2.4,3.08,2.73,1.67,,
Total,,,,,,,31.02,38.16,33.94,,29.04,,31.35,37.32,30.77,40.74,25.75,27.57,,
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1940s record and is near Whirley Grove. Altitudes match,,,,,,,,,,,,,,,,,,,,
"Jan, Feb and Mar 1947 estimated for snow, but left in this record.",,,,,,,,,,,,,,,,,,,,
