HARROW-ROXETH-GREEN-AVENUE,,,,,,,,,,
Grid ref,TQ140869,Long,-0.35654065,Lat,51.569457,Elevation,165,ft.,,
Station no,860/3,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,
July,,,,,,,,,,
August,,,,,,,,,,
September,,,,,,,,,,4.51
October,,,,,,,,,,6.24
November,,,,,,,,,,4.01
December,,,,,,,,,,2.85
Total,,,,,,,,,,
,,,,,,,,,,
NGR is from the 1950s record and is on Roxeth Green Ave. Altitude is from OS map.,,,,,,,,,,
"MIDAS src_id 5641 ends 1970, only 4 readings",,,,,,,,,,
