CAMBERWELL NUNHEAD RESERVOIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ352754,Long,-0.055237,Lat,51.461435,Elevation,175,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,1.59,1.12,0.21,1.25,2.23,1.14,0.52,1.52,0.56,1.83,1.95,0.41,0.42,1.77,1.55,0.86,2.93,0.72,1.04,0.66,1.51,1.07,3.03,2.51,0.43,3.34,0.91,1.12,2.8,2.43,1.92,1.55,1.94,1.07,2.66,1.55,2.01,1.48,2.65,0.86,2.3,1.04,1.44,0.94,1.44,1.01,3.45,3.24,2.15,3.4,2.54,2.51,2.27,4.25,1.18,1.44,1.37,1.38,2.34,0.74,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,0.84,0,1.09,2.13,1.43,0.06,0.23,2.02,0.89,1.61,2.71,0.6,0.58,0.76,1.59,0.47,1.31,0.97,1.12,0.36,2.48,1.21,1.56,0.82,2.19,2.95,3.39,0.83,0.84,2.05,0.85,0.11,1.58,2.63,0.51,2.83,2.64,3.19,1.15,0.41,0.65,1.34,0.24,1.58,0.11,2.18,1.4,3.76,0.63,0.98,1.42,1.64,0.69,1.47,0.71,1.12,2.05,1.33,1.11,0.69,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,1.46,1.12,0.66,0.31,0.52,1.12,2.42,3.01,0.82,0.31,0.8,1.58,1.16,1.41,1.09,2.73,0.73,0.67,1.86,2.72,0.87,1.65,2.22,2.31,3.87,0.63,3.94,1.67,0.86,2.68,1.44,1.3,1.33,2.05,0.57,0.54,0.13,1.7,1.45,0.06,1.45,0.34,1.32,1.93,1.92,0.46,0.92,2.71,0.41,1.04,3.73,2.67,2.13,0.31,0.04,0.81,1.02,4.66,0.6,0.81,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,1.56,0.62,0.79,0.08,1.29,1.35,0.42,1.18,0.78,2.28,0.68,1.32,0.31,1.6,0.75,1.29,0.52,3.01,1.58,1.66,1.48,1.57,0.03,2.19,0.89,1.27,1.01,1.65,2.96,2.43,2.34,1.16,2.45,1.38,3.12,1.81,3.78,1.7,1.24,1.11,1.31,3.39,1.9,0.63,2.33,2.95,1.46,2.11,0.09,2.23,1.57,1.43,0.74,0.74,1.29,0.87,1.66,1.27,0.9,1.49,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,1.22,2.61,1.23,0.41,1.23,0.6,0.15,1.13,2.09,1.14,0.79,1.43,2.31,2.02,1.6,0.88,1.27,1.42,1.59,0.96,2.08,1.46,1.08,1.38,1.53,3.03,2.03,2.77,1.98,0.21,0.54,1.58,0.69,2.07,2.54,1.31,1.59,1.51,2.93,1.18,3.11,2.81,3.73,2.26,0.33,1.41,0.33,3.17,1.22,1.6,1.02,1.65,2.56,2.19,0.47,1.82,3.15,1.17,1.83,1.89,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,2.22,0.95,2.04,0.64,1.83,0.18,1.6,1.95,1.03,1.11,2.16,1.38,2.98,5.57,0.73,4.54,2.82,2.14,1.9,3.46,2.06,2.19,2.9,0.38,1.51,0.42,2.75,1.9,1.16,1.39,1.22,0.45,1.3,0.48,2.03,0.11,2.91,2.77,2.08,0.83,2.95,1.14,0.57,1.88,1.93,3.4,2.71,2.09,0.39,1.16,0.75,2.07,0.44,1.17,1.83,1.39,1.69,2.54,2.01,0.51,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,4.63,2.8,1.32,2.85,2.76,3.41,0.94,0.66,0.59,0.76,1.19,1.29,1.41,3.82,1.78,0.69,0.42,0.77,3.05,3.15,2.58,0.28,1.52,1.5,1.32,3.04,1.35,4.32,6.83,2.12,3.26,0.07,3.48,2.85,2.84,3.81,1.76,2.3,2.04,1.62,1.97,2.56,2.88,1.47,1.84,0.93,2.87,1.62,1.25,2.31,3.17,3.36,1.84,1.57,1.36,2.59,1.61,1.12,1,0.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,1.93,3.23,3.09,1.15,2.65,1.88,1.87,2.46,0.78,0.41,3.05,1.72,2.48,4.13,1.05,2.69,1.06,1.58,3.23,1.45,3.03,1.82,4.29,1.89,0.99,2.79,3.89,4.07,1.78,2.38,1.67,0.57,2.21,1.81,2.31,2.7,2.11,4.34,2.55,1.82,2.63,4.11,1.79,0.51,1.69,1.86,0.6,1.05,1.53,3.01,0.06,4.36,1.53,1.51,2.84,1.2,4.01,0.15,3.56,1.03,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,0.64,0.54,2.02,0.93,1.03,0.82,4.51,2.37,0.29,2.24,0.5,1.31,1.64,2.04,0.92,1.53,1.74,1.22,1.21,2.2,0.69,1.2,2.45,1.36,0.74,2,0.96,1.88,4.2,1.03,3.32,1.67,1.78,1.03,2.91,1.92,1.22,4.59,0.69,0.22,5.42,1.67,2.26,2.67,1.22,2.53,2.8,1.7,2.78,1.41,1.29,0.66,1.39,1.95,2.41,1.3,2.46,1.23,0.82,0.83,2.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,0.85,3.95,2.39,3.94,3.69,2.49,2.16,0.41,2.69,2.01,1.47,2.09,0.99,4.16,1.28,0.66,2.83,2.58,1.97,3.45,2.35,3.03,1.99,3.79,1.01,2.04,2.78,2.73,1.4,0.77,1.02,0.7,0.92,4.57,3.27,2.52,2.24,1.33,3.44,2.7,1.12,0.74,5.15,1.53,1.05,2.66,1.71,2.35,1.92,5.06,2.15,0.65,3.89,1.94,2.65,1.58,1.16,0.11,2.2,5.27,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
