"CAMBERWELL, NUNHEAD RESERVOIR, LONDON ",,,,,,,,,,,,
Grid ref,TQ351754,Long,-0.056676,Lat,51.461459,,,,,,,
Station no,13,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.53,1.79,0.89,1.15,2.50,3.32,1.48,1.73,1.75,1.49,,
February,5.66,0.83,1.36,2.01,1.43,0.29,2.55,2.27,0.04,1.49,,
March,2.59,2.52,0.48,1.87,1.00,1.04,0.82,1.31,1.45,1.73,,
April,2.38,1.09,2.17,0.32,0.29,1.08,0.28,1.53,1.66,0.55,,
May,1.80,1.12,1.71,2.08,4.12,0.44,1.25,2.21,0.94,2.05,,
June,1.02,1.25,1.57,2.72,2.04,2.55,1.01,3.93,0.76,1.14,,
July,1.47,0.60,3.59,2.59,0.47,4.01,2.99,2.26,1.07,4.00,,
August,2.87,2.74,1.42,3.75,0.86,3.09,2.01,3.34,1.92,3.28,,
September,3.40,2.68,2.23,2.20,2.35,2.15,2.32,4.10,0.08,4.18,,
October,0.88,2.53,3.44,1.70,3.24,1.26,1.76,2.26,2.05,5.11,,
November,4.50,3.48,0.97,3.80,0.40,0.38,2.19,1.75,2.88,3.47,,
December,1.77,2.25,0.61,1.33,1.78,2.73,1.85,2.63,3.31,1.99,,
Total,30.87,22.88,20.44,25.52,20.48,22.34,20.51,29.32,17.91,30.58,,
Calc annual,30.87,22.88,20.44,25.52,20.48,22.34,20.51,29.32,17.91,30.48,,
Difference,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.10,,
