"NUNHEAD SOUTHWARK WATER WORKS",,,,,,,,,,,,
Grid ref,TQ352754,Long,-0.055237,Lat,51.461435,,,,,,,
Station no,13,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,1.95,0.41,0.42,1.77,1.55,0.86,2.93,0.72,1.04,0.66,,
February,2.71,0.60,0.58,0.76,1.59,0.47,1.31,0.97,1.12,0.36,,
March,0.80,1.58,1.16,1.41,1.09,2.73,0.73,0.67,1.86,2.72,,
April,0.68,1.32,0.31,1.60,0.75,1.29,0.52,3.01,1.58,1.66,,
May,0.79,1.43,2.31,2.02,1.60,0.88,1.27,1.42,1.59,0.96,,
June,2.16,1.38,2.98,5.57,0.73,4.54,2.82,2.14,1.90,3.46,,
July,1.19,1.29,1.41,3.82,1.78,0.69,0.42,0.77,3.05,3.15,,
August,3.05,1.72,2.48,4.13,1.05,2.69,1.06,1.58,3.23,1.45,,
September,0.50,1.31,1.64,2.04,0.92,1.53,1.74,1.22,1.21,2.20,,
October,1.47,2.09,0.99,4.16,1.28,0.66,2.83,2.58,1.97,3.45,,
November,1.65,0.48,1.25,1.44,1.28,2.50,3.79,1.93,0.67,0.78,,
December,1.95,2.31,1.11,0.90,1.96,0.40,1.36,2.02,1.58,2.10,,
Total,18.90,15.92,16.64,29.62,15.58,19.24,20.78,19.03,20.80,22.95,,
Calc annual,18.90,15.92,16.64,29.62,15.58,19.24,20.78,19.03,20.80,22.95,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,,
