ROCHE-GLENCOE,,,,,,,,,,,,,,,,,,,,
Grid ref,SW984601,Long,-4.8378,Lat,50.40659,Elevation,602,ft,,,,,,,,,,,,
Station no,RR7245,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,3.73,8.02,1.84,1.49,2.77,4.51,1.78,5.13,7.86,1.7,4.95,0.99,,,
February,,,,,,1.85,6.39,1.73,2.64,0.54,5.7,1.82,4.72,1.18,4.63,8.3,6.28,,,
March,,,,,,5.91,1.44,0.85,5.8,5.54,1.16,3.99,6.12,4.72,6.67,0.67,4.54,,,
April,,,,,,4.84,1.48,5.86,2.74,2.45,3.46,1.98,0.64,4.09,2.25,1.92,0.99,,,
May,,,,,,0.94,4.59,2.87,2.12,1.28,2.2,0.63,2.33,4.38,1.48,2.72,1.47,,,
June,,,,,,3.3,1.94,3.48,0.81,3.96,2.48,3.32,5.75,1.63,2.78,2.71,1.95,,,
July,,,,,,0.6,1.68,2.19,2.89,3.56,2.71,1.15,4.24,0.96,5.44,4.78,2.1,,,
August,,,,,,6.29,2.79,1.92,5.13,1.76,5.1,2.47,11.26,0.86,2.86,1.58,4.17,,,
September,,,,,,1.36,1.39,1.11,3.91,1.56,0.25,2.98,1.43,3.88,3.99,2.21,1.94,,,
October,,,,,,2.74,5.62,9.38,2.55,7.03,8.01,4.57,5.13,5.11,3.6,6.8,7.09,,,
November,,,,,,7.72,4.45,5.64,1.61,1.61,8.02,5.24,3.36,5.69,5.28,3.56,8.23,,,
December,,,,,,2.49,4.28,5.57,4.65,6.21,9.19,11.47,5.5,3.88,9.79,8.32,4.25,,,
Total,,,,,,41.77,44.07,42.44,36.34,38.27,52.79,41.4,55.61,44.24,50.47,48.52,44,,,
,,,,,,,,,,,,,,,,,,,,
Glencoe near Harmony Cottage which is marked on OS maps,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1932 Dec 19 Rejected from survey as 4in low,,,,,,,,,,,,,,,,,,,,
