"STANDEDGE REDBROOK RESERVOIR",,,,,,,,,,,,
Grid ref,SE025096,Long,-1.963711,Lat,53.582984,,,,,,,
Station no,,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,5.37,3.28,4.42,4.60,4.23,2.50,6.09,2.37,4.42,2.71,,
February,4.10,1.06,1.21,5.02,4.14,1.71,3.78,2.64,3.21,2.80,,
March,0.71,2.32,2.93,5.65,2.85,5.85,4.06,3.84,2.67,3.15,,
April,2.40,3.02,2.98,3.68,3.46,2.23,1.02,2.65,3.12,4.42,,
May,1.56,1.18,2.42,3.88,2.16,2.29,5.32,4.43,3.28,2.06,,
June,4.65,1.15,1.68,1.37,2.87,2.76,1.69,8.66,2.21,3.61,,
July,2.47,1.55,2.41,4.99,1.86,2.89,2.17,4.11,5.62,5.27,,
August,7.85,1.99,3.85,6.01,5.39,4.53,5.07,4.86,3.81,5.42,,
September,1.97,1.08,2.37,7.43,1.49,3.47,1.67,1.35,4.87,3.72,,
October,6.04,3.55,6.38,10.60,3.06,4.17,7.20,6.93,1.71,7.01,,
November,5.86,5.34,1.68,4.13,4.00,6.59,4.60,3.55,2.94,0.49,,
December,5.84,4.34,5.21,3.00,3.52,1.40,2.92,4.63,3.45,8.67,,
Total,48.82,29.86,37.54,60.36,39.03,40.39,45.59,50.02,41.31,49.33,,
Calc annual,48.82,29.86,37.54,60.36,39.03,40.39,45.59,50.02,41.31,49.33,,
Difference,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
