STANDEDGE REDBROOK RESERVOIR - old gauge,,,,,,,,,,,,,,,,,,,,
Grid ref,SE025096,Long,-1.963711,Lat,53.582984,Elevation,1150,ft,,,,,,,,,,,,
Station no,3102,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,6,3.25,3.87,1.25,3.38,2.72,5.18,1.45,2.79,6.22,5.9,3.22,4.33,4.65,4.27,2.55,6.25,2.45,4.5,2.76
February,0.88,0.12,2.25,6,5.73,0.79,1.28,3.06,2.89,1.63,4.17,1.03,1.16,5.05,4.21,1.82,3.85,2.66,3.29,2.82
March,4.5,2.13,0.86,1.25,6.38,3.37,6.64,5.19,3.26,2.75,0.72,2.28,2.88,5.66,2.96,5.99,4.11,3.9,1.74,3.21
April,2.12,2.25,1.5,1.15,2.74,3.18,2.61,3.6,2.64,3.55,2.38,2.96,2.92,3.73,3.49,2.29,1.08,2.72,3.2,4.45
May,4,3,5.25,2.04,2.44,1.79,0.75,0.62,3.18,3.67,1.59,1.15,2.45,3.91,2.22,2.29,5.39,4.53,3.33,2.1
June,4.63,2.87,4,3.27,4.39,2.31,2.66,5.01,3.04,1,4.6,1.17,1.6,1.41,2.91,2.79,1.76,8.76,2.27,3.63
July,4.62,4.5,3.62,3.67,3.82,9.09,4.4,1.88,1.04,2.27,2.44,1.53,2.43,5.07,1.91,2.94,2.26,4.16,5.75,5.32
August,7,10.5,5.13,3.77,5.46,6.59,2.26,3.11,6.48,3.1,7.79,1.98,3.85,6.06,5.48,4.48,5.09,4.91,3.88,5.43
September,1.82,4.47,5,5.43,0.63,1.58,7.35,7.19,0.79,6.5,1.91,1.06,2.33,7.47,1.59,3.53,1.72,1.36,4.93,3.76
October,5.12,7,8.5,3.45,4.14,2.93,5.64,3.32,3.6,3.4,5.97,3.52,6.26,10.64,3.08,4.27,7.29,7.07,1.77,7.03
November,5.65,4.5,3.12,5.05,4.5,3.16,1.42,2.69,4.58,3.44,5.78,5.31,1.68,4.2,4.07,6.71,4.67,3.64,2.99,0.53
December,0.5,8.25,2.5,5.05,3.75,3.34,5.87,7.24,5.1,1.8,5.81,4.27,5.18,3.1,3.59,1.47,2.9,4.68,3.49,8.76
Total,46.84,52.84,45.6,41.38,47.36,40.85,46.06,44.36,39.39,39.33,49.06,29.48,37.07,60.95,39.78,41.13,46.37,50.84,41.14,49.8
,,,,,,,,,,,,,,,,,,,,
Really does look as if gauge started January 1890,,,,,,,,,,,,,,,,,,,,
