OLD-WOKING-SEWAGE-WORKS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ027573,Long,-0.52906,Lat,51.30662,Elevation,76,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,220/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,1.53,1.94,0.84,4.38,4.81,2.47,4.39,2.72,2.56,2.12,4.81,1.19,1.46,1.58,1.57,4.12,0.9,0.83,3.22,1.98,0.94,1.18,2.31,3.61,1.28,2.1,2.19,2.04
February,,,3.89,0.27,2.86,1.64,3.66,0.46,1.25,1.64,2.27,0.84,1.39,0.58,1.38,2.36,1.12,0.88,1.08,3.93,6.2,0.71,1.23,2.36,1.52,0.29,3.14,2.09,0.06,2.15
March,,,2.71,2.5,0.26,1.31,3.67,0.16,1.25,3.26,3.53,1.5,0.34,0.13,0.76,1.26,4.43,0.71,1,0.97,3.56,2.61,0.45,2.29,0.99,0.67,1.37,1.39,2.61,1.48
April,,,0.86,2.09,3.17,1.8,2.24,0.14,2.8,1.57,1.2,1.19,1.17,0.93,1.1,1.62,1.53,1.53,2.56,2.76,2.62,1.5,2.29,0.32,0.2,0.97,0.27,1.18,2.21,0.6
May,,,4.49,0.55,1.24,1.07,2.38,1.38,1.57,1.02,2.03,3.04,2.4,0.67,1.32,3.17,1.47,2.11,2.1,1.41,2.54,2.22,1.96,2.55,3.46,0.21,1.47,2.71,0.71,1.48
June,,1.3,2.54,1.34,2.97,3.28,1.87,0.56,1.13,0.72,2.13,0.56,1.12,1.91,1.86,2.3,2.27,3.18,0.74,1,0.96,1.64,1.46,3.69,2.16,1.87,0.87,3.4,0.64,2.61
July,,2.32,1.83,1.92,0.82,3.09,0.91,1.3,1.95,2.13,3.93,1.56,2.04,1.71,4.57,1.58,2.87,1.05,1.51,3.85,1.55,0.63,3.25,2.6,0.26,3.33,2.96,0.89,2.18,2.27
August,,0.74,0.84,1.97,3.78,1.03,1.01,1.76,2.05,0.08,5.21,2.56,1.55,1.56,1.6,4.31,0.44,3.05,0.87,2.78,2.94,2.81,1.58,2.02,1.2,3.26,1.81,3.42,1.76,4.8
September,,2.07,2.36,1.49,4.22,2.46,1.95,1.75,0.82,1.2,0.35,0.97,1.76,1.77,2.03,2.84,0.96,1.18,0.96,2.69,1.94,3.36,1.95,2.19,1.2,2.65,2.71,4.07,0.05,2.29
October,,4.71,1.99,1.75,3.45,1.94,3.03,2.48,5.12,2.8,1.18,3.44,2.45,3.2,2.7,0.97,0.21,1.85,6.07,0.34,0.48,3.14,3,2.06,2.84,1.77,1.5,2.77,2.74,6.1
November,,1.12,0.98,2.49,5.22,2.96,1.48,3.7,4.45,6.83,3.09,1.88,1.15,3.44,0.45,4.09,0.96,1.79,2.43,5.01,6.38,2.99,1.31,4.39,1.36,0.66,2.84,2.01,2.81,3.95
December,,0.39,0.42,6.3,2.55,2.26,3.86,2.98,0.88,1.41,1.56,2.87,1.46,1.87,3.48,2.57,2.96,3.08,1.4,1.75,2.15,2.56,0.66,2.43,2.35,3.11,2.04,2.73,4.45,2.67
Total,,,24.44,24.61,31.38,27.22,30.87,19.14,27.66,25.38,29.04,22.53,21.64,18.96,22.71,28.65,20.79,24.53,21.62,27.32,34.54,26.15,20.08,28.08,19.85,22.4,22.26,28.76,22.41,32.44
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Not printed Low (particularly Jan-Jun and in Nov) Engineer states gauge overgrown with weeds. To be kept clear from Sept 1945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Jan 14th Inspection Gauge sound Site reasonable Possibly o/e slightly SSW Best available,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956 Not printed Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRC_ID 6448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Still in use 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
