RUAN-MINOR-POLTESCO,,,,,,,,,,,,,,,,,,,,
Grid ref,SW723158,Long,-5.17864,Lat,49.998778,Elevation,120,ft,,,,,,,,,,,,
Station no,1896/6,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,8.12,1.49,1.51,4.77,4.14,0.84,2.65,6.77,5.48,2.83,5.19,5.95,4.33
February,,,,,,,,1.51,1.42,6.98,4.68,1.4,1.7,4.95,3.54,0.68,6.08,4.9,0.28,4.97
March,,,,,,,,1.72,1.6,2.41,5.8,3.88,0.89,3.39,1.08,1.46,4.08,4.98,3.88,4.1
April,,,,,,,,2.99,1.43,2.37,2,2.67,3.02,0.72,1.12,1.06,0.64,1.16,2.87,2.39
May,,,,,,,,2.09,2.98,1.65,3.19,2.1,2.8,2.45,3.05,1.57,2.5,2.65,1.69,2.04
June,,,,,,,,2.41,0.38,1.24,0.54,0.61,1.84,2.21,5.06,2.21,2.64,3.31,0.67,1.03
July,,,,,,,,2.08,1.73,3.81,1.99,1.59,3.2,3.27,0.08,2.81,2.83,2.45,1.56,4.54
August,,,,,,,,3.63,0.98,6.08,5.14,3.86,1.81,2.22,0.21,3.4,3.43,5.15,1.04,4.28
September,,,,,,,,2.06,3.52,5.99,4.47,5.05,3.14,3.62,1.38,5.76,2.84,5.2,0.04,3.42
October,,,,,,,,6.08,6.97,2.15,2.06,4.34,1.67,2.34,4.68,2.4,3.32,3.48,4.82,8.33
November,,,,,,,,2.6,5.29,7.72,6.28,6.53,2.05,5.43,2.22,2.08,2.73,3.39,7.55,7.45
December,,,,,,,,5.98,3.26,5.26,5.25,4.91,0.94,3.54,7.75,5.33,3.7,6.36,9.27,5.58
Total,,,,,,,,41.27,31.05,47.17,46.17,41.08,23.9,36.79,36.94,34.24,37.62,48.22,39.62,52.46
,,,,,,,,,,,,,,,,,,,,
1947 July Gauge moved from Leicester,,,,,,,,,,,,,,,,,,,,
1956 Mar 7 Inspection Gauge skirt detached Measure flat bott Site o/s but best available,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Poltesco SRC_ID 8724,,,,,,,,,,,,,,,,,,,,
1948-1965,,,,,,,,,,,,,,,,,,,,
