LARTINGTON FILTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ012180,Long,-1.983,Lat,54.557,Elevation,725,ft,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,4.97,3.05,3.07,2.06,2.65,1.55,4.32,4.67,4.27,5.67,1.65,3.80,3.54,3.68,3.18,4.40,2.50,3.01,8.04,1.34,2.15,3.42,2.88,0.74,3.37,2.33,3.71,3.38,2.70,2.48,5.13
February,,1.31,2.56,0.63,4.74,0.21,5.47,2.95,4.59,1.42,2.96,2.50,3.99,1.80,1.72,2.12,3.27,2.68,,2.76,2.40,5.32,3.71,0.60,2.07,2.40,2.26,2.10,2.87,5.73,0.24,2.99
March,,2.15,1.20,1.97,2.17,3.26,1.34,2.59,3.14,0.45,3.29,2.63,3.12,2.14,1.87,0.44,1.25,1.83,,2.09,0.81,1.35,3.86,1.45,0.51,1.64,1.82,1.78,1.75,3.08,1.28,2.51
April,,3.43,3.16,3.32,1.51,3.70,3.10,0.90,2.74,0.37,1.16,1.97,1.82,1.62,2.22,1.40,2.29,1.08,7.01,2.18,2.24,2.43,2.01,1.11,2.86,0.68,0.44,0.77,0.27,1.45,2.50,1.56
May,,1.24,3.20,3.40,2.41,1.96,0.56,2.00,3.27,3.06,0.61,1.15,1.29,1.80,3.65,1.35,3.51,2.17,1.88,1.15,0.99,1.76,3.35,1.57,2.33,4.32,2.46,0.78,1.86,4.19,0.37,2.76
June,1.58,1.25,4.23,1.15,1.89,1.94,2.47,3.80,1.16,2.66,2.03,0.40,0.24,0.83,2.05,1.83,2.36,1.66,3.13,3.54,0.93,1.07,0.63,1.18,2.14,2.31,1.98,2.83,1.02,3.70,1.67,0.74
July,2.86,4.68,4.13,2.90,2.18,1.90,1.08,2.61,1.82,2.31,4.12,4.55,1.11,2.31,1.68,3.77,1.48,3.06,2.74,0.47,2.92,3.25,1.03,0.94,2.49,1.21,0.90,3.61,3.60,3.00,1.95,4.30
August,2.61,5.74,4.07,1.89,1.15,2.91,2.13,1.87,1.44,2.71,3.21,0.63,2.21,2.20,5.42,1.52,5.02,4.37,0.21,3.44,1.41,4.97,3.08,2.68,3.98,5.37,1.11,7.11,4.80,2.73,0.84,2.94
September,1.35,3.68,2.52,3.26,1.88,1.83,7.06,5.38,1.77,1.59,1.21,2.14,0.12,2.13,3.17,5.93,1.32,4.94,2.61,3.04,1.59,4.68,1.57,3.84,2.22,3.79,1.49,3.95,3.86,3.14,1.13,2.80
October,2.82,3.27,1.07,4.58,3.36,4.74,5.17,2.85,2.50,6.57,5.49,4.25,3.99,2.39,3.50,3.42,4.43,0.80,0.96,1.88,4.27,2.10,0.97,3.28,1.65,5.26,1.96,2.11,3.12,2.04,2.34,6.80
November,4.54,3.96,3.69,2.04,2.78,2.11,5.94,3.77,1.64,4.81,4.91,3.98,3.23,1.17,2.57,6.33,1.10,6.44,3.26,1.71,4.57,5.33,8.25,2.19,2.46,5.57,2.04,1.10,1.96,0.70,5.67,4.59
December,7.30,3.09,2.11,1.70,0.81,4.83,1.92,3.62,3.13,4.27,1.27,2.45,1.22,3.39,2.00,4.20,1.50,3.02,3.35,2.73,5.26,2.07,6.07,2.42,1.41,3.66,5.08,4.58,3.79,4.67,5.42,4.41
Total,,38.77,34.99,29.91,26.94,32.04,37.79,36.66,31.87,34.49,35.93,28.30,26.14,25.32,33.53,35.49,31.93,34.55,,33.03,28.73,36.48,37.95,24.14,24.86,39.58,23.87,34.43,32.28,37.13,25.89,41.53
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1931-1940_20_pt1/076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1941-1950_22_pt1/257,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1951-1960_22_pt1/081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# Readings for February and March 1947 are estimates and have been omitted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The station is still active according to MIDAS.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
